competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
19501,Thuridur Erla Helgadottir,Thuridur Erla,Helgadottir,ACT,,F,4641e-P19501_6-184.jpg,IS,Iceland,,29,Europe,2,3834,CrossFit Zug,29,164 cm,59 kg,0,13,723
132258,Arielle Loewen,Arielle,Loewen,ACT,,F,61499-P132258_6-184.jpg,US,United States,,31,North America,2,3927,Renewed Strength CrossFit,27,63 in,143 lb,0,14,717
484380,Emily Rolfe,Emily,Rolfe,ACT,,F,12c96-P484380_4-184.jpg,CA,Canada,,31,North America,2,22956,CrossFit Sea Level,32,170 cm,152 lb,0,15,706
1547449,Emma Cary,Emma,Cary,ACT,,F,05f6a-P1547449_5-184.jpg,US,United States,,31,North America,2,22537,Perform Overcome Excel CrossFit,17,64 in,140 lb,0,16,689
299053,Jacqueline Dahlstrøm,Jacqueline,Dahlstrøm,ACT,,F,0b73b-P299053_3-184.jpg,NO,Norway,,29,Europe,2,12162,C23 CrossFit,29,167 cm,67 kg,0,17,689
585046,Baylee Rayl,Baylee,Rayl,ACT,,F,412ea-P585046_9-184.jpg,US,United States,,31,North America,2,None,,25,67 in,135 lb,0,18,610
887297,Emma Tall,Emma,Tall,ACT,,F,9c721-P887297_2-184.jpg,SE,Sweden,,29,Europe,2,12,CrossFit Karlstad,29,168 cm,68 kg,0,19,566
168305,Brooke Wells,Brooke,Wells,WD,,F,43257-P168305_10-184.jpg,US,United States,,31,North America,2,4917,CrossFit Trivium,26,66 in,150 lb,0,20,792
2536,Samantha Briggs,Samantha,Briggs,CUT,,F,0e63d-P2536_14-184.jpg,GB,United Kingdom,,29,Europe,2,4098,CrossFit Black Five,39,170 cm,135 lb,0,21,436
37537,Alessandra Pichelli,Alessandra,Pichelli,CUT,,F,a0400-P37537_14-184.jpg,CA,Canada,,31,North America,2,793,Diablo CrossFit,35,66 in,155 lb,0,22,426
93497,Mekenzie Riley,Mekenzie,Riley,CUT,,F,d678c-P93497_6-184.jpg,US,United States,,31,North America,2,5124,CrossFit Northlake,33,64 in,155 lb,0,23,424
1018713,Laura Clifton,Laura,Clifton,CUT,,F,c1e01-P1018713_3-184.jpg,NZ,New Zealand,,32,Oceania,2,26488,CrossFit Awaside,26,162 cm,75 kg,0,24,416
1441210,Sydney Michalyshen,Sydney,Michalyshen,CUT,,F,ad34a-P1441210_15-184.jpg,CA,Canada,,31,North America,2,None,,21,168 cm,155 lb,0,25,414
1119323,Ellie Turner,Ellie,Turner,CUT,,F,77bcc-P1119323_3-184.jpg,AU,Australia,,32,Oceania,2,None,,23,167 cm,72 kg,0,26,404
239148,Carolyne Prevost,Carolyne,Prevost,CUT,,F,513d9-P239148_11-184.jpg,CA,Canada,,31,North America,2,718,CrossFit Colosseum,31,63 in,145 lb,0,27,387
254313,Jessica Griffith,Jessica,Griffith,CUT,,F,36c45-P254313_10-184.jpg,US,United States,,31,North America,2,None,,29,66 in,154 lb,0,28,381
39517,Emilia Leppänen,Emilia,Leppänen,CUT,,F,92a61-P39517_5-184.jpg,FI,Finland,,29,Europe,2,7526,CrossFit 10K,34,165 cm,150 lb,0,29,338
159681,Regan Huckaby,Regan,Huckaby,CUT,,F,c1099-P159681_6-184.jpg,US,United States,,31,North America,2,1792,CrossFit Fort Vancouver,34,65 in,147 lb,0,30,312
1187609,Sasha Nievas,Sasha,Nievas,CUT,,F,0c9a7-P1187609_2-184.jpg,AR,Argentina,,33,South America,2,None,,23,156 cm,61 kg,0,31,297
893554,Michelle Basnett,Michelle,Basnett,CUT,,F,3651c-P893554_2-184.jpg,ZA,South Africa,,30,Africa,2,8492,CrossFit Cornelius,24,64 in,152 lb,0,32,296
314703,Caroline Conners,Caroline,Conners,CUT,,F,93573-P314703_4-184.jpg,US,United States,,31,North America,2,1926,CrossFit MF,28,61 in,133 lb,0,33,234
1346810,Seungyeon Choi,Seungyeon,Choi,CUT,,F,e8e28-P1346810_2-184.jpg,KR,"Korea, Republic of",,28,Asia,2,17606,CrossFit Limelight,22,168 cm,155 lb,0,34,213
670000,Dani Speegle,Dani,Speegle,WD,,F,47a8d-P670000_4-184.jpg,US,United States,,31,North America,2,600,CrossFit Invictus,27,66 in,168 lb,0,35,239
2942,Kara Saunders,Kara,Saunders,WD,,F,5ca2a-P2942_14-184.jpg,AU,Australia,,32,Oceania,2,9043,CrossFit Carv,31,162 cm,162 lb,0,36,93
305891,Kari Pearce,Kari,Pearce,WD,,F,17c8c-P305891_3-184.jpg,US,United States,,31,North America,2,7589,CrossFit Culmination,32,63 in,139 lb,0,37,0
455677,Larissa Cunha,Larissa,Cunha,ACT,,F,d65e1-P455677_3-184.jpg,BR,Brazil,,33,South America,2,10585,Cavaleiros CrossFit,30,153 cm,62 kg,0,0,0
592472,Bethany Shadburne,Bethany,Shadburne,ACT,,F,69340-P592472_6-184.jpg,US,United States,,31,North America,2,7589,CrossFit Culmination,27,64 in,144 lb,0,0,0
1019212,Svetlana Kubyshkina,Svetlana,Kubyshkina,ACT,,F,c584b-P1019212_1-184.jpg,RU,,,28,Asia,2,17189,Backstage CrossFit,30,155 cm,60 kg,0,0,0
