competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
252691,Feeroozeh Saghafi,Feeroozeh,Saghafi,ACT,,F,9feeb-P252691_7-184.jpg,US,United States,,31,North America,2,7991,CrossFit Mentality,27,61 in,135 lb,0,7,312
21556,Madeline Sturt,Madeline,Sturt,ACT,,F,b807b-P21556_9-184.jpg,AU,Australia,,32,Oceania,2,1348,Reebok CrossFit Frankston,25,159 cm,63 kg,0,8,288
1518913,Oihana Moya,Oihana,Moya,ACT,,F,1730f-P1518913_6-184.jpg,ES,Spain,,29,Europe,2,17272,CrossFit Zarautz,26,165 cm,68 kg,0,9,272
1136909,Tori Dyson,Tori,Dyson,ACT,,F,d7716-P1136909_4-184.jpg,US,United States,,31,North America,2,505,CrossFit New England,27,60 in,140 lb,0,10,260
594929,Tayla Howe,Tayla,Howe,ACT,,F,4acb1-P594929_3-184.jpg,GB,United Kingdom,,29,Europe,2,29213,High Performance CrossFit,25,165 cm,75 kg,0,11,252
8859,Ragnheiður Sara Sigmundsdottir,Ragnheiður Sara,Sigmundsdottir,ACT,,F,5bee0-P8859_7-184.jpg,IS,Iceland,,29,Europe,2,25335,TTT CrossFit,29,173 cm,69 kg,0,12,237
510714,Lindsey Porter,Lindsey,Porter,ACT,,F,d2245-P510714_12-184.jpg,US,United States,,31,North America,2,3335,CrossFit Clearwater,22,67 in,150 lb,0,13,215
977156,Hattie Kanyo,Hattie,Kanyo,ACT,,F,600ca-P977156_3-184.jpg,CA,Canada,,31,North America,2,None,,30,64 in,145 lb,0,14,192
40756,Kelly Clark,Kelly,Clark,ACT,,F,83f82-P40756_5-184.jpg,US,United States,,31,North America,2,8060,CrossFit Up,35,64 in,145 lb,0,15,187
837605,Callista Lang,Callista,Lang,ACT,,F,3a2ec-P837605_4-184.jpg,US,United States,,31,North America,2,1208,Port CrossFit,21,64 in,138 lb,0,16,186
920973,Gabby McClelland,Gabby,McClelland,ACT,,F,edfad-P920973_1-184.jpg,US,United States,,31,North America,2,11612,CrossFit Decimate,24,68 in,175 lb,0,17,167
280125,Dawon Jung,Dawon,Jung,ACT,,F,e3377-P280125_5-184.jpg,KR,"Korea, Republic of",,28,Asia,2,17606,CrossFit Limelight,27,170 cm,65 kg,0,18,151
261255,Claudia Espinosa,Claudia,Espinosa,ACT,,F,2224b-P261255_6-184.jpg,EC,Ecuador,,33,South America,2,None,,31,175 cm,68 kg,0,19,148
872244,Christina Livaditakis,Christina,Livaditakis,ACT,,F,9270a-P872244_4-184.jpg,ZW,Zimbabwe,,30,Africa,2,2218,CrossFit Crossaxed,25,153 cm,63 kg,0,19,148
716089,Or Cohen,Or,Cohen,ACT,,F,7af84-P716089_3-184.jpg,IL,Israel,,28,Asia,2,7738,CrossFit Kfar Saba,32,157 cm,63 kg,0,21,145
1781089,Masha Savvina,Masha,Savvina,ACT,,F,300b8-P1781089_1-184.jpg,RU,,,28,Asia,2,2648,CrossFit Heyday,35,5 in,160 lb,0,22,103
