ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
1.0,5.0,88.0,1.0,1:10:54.31,811708.0,2021,games
2.0,15.0,58.0,1.0,09:13.54,811708.0,2021,games
3.0,11.0,70.0,1.0,01:18.21,811708.0,2021,games
4.0,2.0,97.0,1.0,14:50.28,811708.0,2021,games
5.0,4.0,91.0,1.0,12:05.77,811708.0,2021,games
6.0,6.0,85.0,1.0,05:59.86,811708.0,2021,games
7.0,7.0,82.0,1.0,05:56.71,811708.0,2021,games
8.0,2.0,97.0,1.0,02:15.33,811708.0,2021,games
9.0,9.0,76.0,1.0,03:48.63,811708.0,2021,games
10.0,6.0,80.0,1.0,21:36.01,811708.0,2021,games
11.0,10.0,55.0,1.0,230 rep,811708.0,2021,games
12.0,7.0,70.0,1.0,285.0 lb,811708.0,2021,games
13.0,3.0,90.0,1.0,04:46.59,811708.0,2021,games
14.0,2.0,95.0,1.0,06:41.27,811708.0,2021,games
15.0,1.0,100.0,1.0,06:36.59,811708.0,2021,games
1.0,35.0,12.0,1.0,1:19:48.62,158264.0,2021,games
2.0,1.0,100.0,1.0,07:42.42,158264.0,2021,games
3.0,3.0,94.0,1.0,01:15.72,158264.0,2021,games
4.0,7.0,82.0,1.0,15:36.64,158264.0,2021,games
5.0,1.0,100.0,1.0,11:49.00,158264.0,2021,games
6.0,9.0,76.0,1.0,CAP+1,158264.0,2021,games
7.0,11.0,70.0,1.0,06:14.26,158264.0,2021,games
8.0,16.0,55.0,1.0,03:56.28,158264.0,2021,games
9.0,5.0,88.0,1.0,03:41.08,158264.0,2021,games
10.0,11.0,60.0,1.0,21:52.73,158264.0,2021,games
11.0,5.0,80.0,1.0,255 rep,158264.0,2021,games
12.0,3.0,90.0,1.0,290.0 lb,158264.0,2021,games
13.0,2.0,95.0,1.0,04:44.04,158264.0,2021,games
14.0,1.0,100.0,1.0,06:31.65,158264.0,2021,games
15.0,11.0,50.0,1.0,07:29.05,158264.0,2021,games
1.0,8.0,79.0,1.0,1:12:08.38,107101.0,2021,games
2.0,7.0,82.0,1.0,08:35.34,107101.0,2021,games
3.0,12.0,67.0,1.0,01:18.25,107101.0,2021,games
4.0,3.0,94.0,1.0,15:05.03,107101.0,2021,games
5.0,2.0,97.0,1.0,12:01.27,107101.0,2021,games
6.0,10.0,73.0,1.0,CAP+1,107101.0,2021,games
7.0,13.0,64.0,1.0,06:32.40,107101.0,2021,games
8.0,13.0,64.0,1.0,03:28.99,107101.0,2021,games
9.0,1.0,100.0,1.0,03:31.25,107101.0,2021,games
10.0,26.0,13.0,1.0,24:09.64,107101.0,2021,games
11.0,7.0,70.0,1.0,253 rep,107101.0,2021,games
12.0,4.0,85.0,1.0,285.0 lb,107101.0,2021,games
13.0,11.0,50.0,1.0,07:52.87,107101.0,2021,games
14.0,9.0,60.0,1.0,CAP+12,107101.0,2021,games
15.0,15.0,30.0,1.0,07:37.77,107101.0,2021,games
1.0,6.0,85.0,1.0,1:11:10.13,81616.0,2021,games
2.0,9.0,76.0,1.0,08:45.81,81616.0,2021,games
3.0,8.0,79.0,1.0,01:17.68,81616.0,2021,games
4.0,12.0,67.0,1.0,16:51.86,81616.0,2021,games
5.0,11.0,70.0,1.0,12:26.45,81616.0,2021,games
6.0,13.0,64.0,1.0,CAP+1,81616.0,2021,games
7.0,23.0,36.0,1.0,07:15.79,81616.0,2021,games
8.0,6.0,85.0,1.0,02:47.05,81616.0,2021,games
9.0,15.0,58.0,1.0,03:57.31,81616.0,2021,games
10.0,14.0,49.0,1.0,22:01.12,81616.0,2021,games
11.0,3.0,90.0,1.0,261 rep,81616.0,2021,games
12.0,13.0,40.0,1.0,275.0 lb,81616.0,2021,games
13.0,1.0,100.0,1.0,04:41.17,81616.0,2021,games
14.0,5.0,80.0,1.0,CAP+7,81616.0,2021,games
15.0,16.0,25.0,1.0,07:53.37,81616.0,2021,games
1.0,20.0,43.0,1.0,1:14:00.84,310970.0,2021,games
2.0,14.0,61.0,1.0,09:11.03,310970.0,2021,games
3.0,4.0,91.0,1.0,01:15.94,310970.0,2021,games
4.0,4.0,91.0,1.0,15:17.35,310970.0,2021,games
5.0,9.0,76.0,1.0,12:21.05,310970.0,2021,games
6.0,5.0,88.0,1.0,05:53.66,310970.0,2021,games
7.0,5.0,88.0,1.0,05:43.34,310970.0,2021,games
8.0,7.0,82.0,1.0,02:57.28,310970.0,2021,games
9.0,29.0,24.0,1.0,04:25.76,310970.0,2021,games
10.0,18.0,37.0,1.0,22:35.57,310970.0,2021,games
11.0,13.0,40.0,1.0,214 rep,310970.0,2021,games
12.0,5.0,80.0,1.0,285.0 lb,310970.0,2021,games
13.0,19.0,10.0,1.0,11:43.43,310970.0,2021,games
14.0,3.0,90.0,1.0,CAP+3,310970.0,2021,games
15.0,2.0,95.0,1.0,06:47.09,310970.0,2021,games
1.0,1.0,100.0,1.0,1:06:44.23,173837.0,2021,games
2.0,11.0,70.0,1.0,09:02.46,173837.0,2021,games
3.0,13.0,64.0,1.0,01:18.30,173837.0,2021,games
4.0,9.0,76.0,1.0,16:32.51,173837.0,2021,games
5.0,6.0,85.0,1.0,12:12.03,173837.0,2021,games
6.0,25.0,32.0,1.0,CAP+2,173837.0,2021,games
7.0,24.0,34.0,1.0,07:29.34,173837.0,2021,games
8.0,9.0,76.0,1.0,03:02.13,173837.0,2021,games
9.0,7.0,82.0,1.0,03:46.09,173837.0,2021,games
10.0,15.0,46.0,1.0,22:09.25,173837.0,2021,games
11.0,4.0,85.0,1.0,259 rep,173837.0,2021,games
12.0,17.0,20.0,1.0,260.0 lb,173837.0,2021,games
13.0,14.0,35.0,1.0,07:58.21,173837.0,2021,games
14.0,7.0,70.0,1.0,CAP+8,173837.0,2021,games
15.0,3.0,90.0,1.0,07:00.66,173837.0,2021,games
1.0,22.0,38.0,1.0,1:14:44.05,686308.0,2021,games
2.0,6.0,85.0,1.0,08:28.34,686308.0,2021,games
3.0,1.0,100.0,1.0,01:15.37,686308.0,2021,games
4.0,27.0,28.0,1.0,CAP,686308.0,2021,games
5.0,26.0,30.0,1.0,13:32.52,686308.0,2021,games
6.0,8.0,79.0,1.0,CAP,686308.0,2021,games
7.0,1.0,100.0,1.0,04:51.61,686308.0,2021,games
8.0,5.0,88.0,1.0,02:45.87,686308.0,2021,games
9.0,16.0,55.0,1.0,03:59.95,686308.0,2021,games
10.0,27.0,10.0,1.0,24:38.58,686308.0,2021,games
11.0,6.0,75.0,1.0,254 rep,686308.0,2021,games
12.0,1.0,100.0,1.0,305.0 lb,686308.0,2021,games
13.0,16.0,25.0,1.0,11:07.65,686308.0,2021,games
14.0,9.0,60.0,1.0,CAP+12,686308.0,2021,games
15.0,4.0,85.0,1.0,07:01.54,686308.0,2021,games
1.0,3.0,94.0,1.0,1:09:48.17,180541.0,2021,games
2.0,17.0,52.0,1.0,09:23.37,180541.0,2021,games
3.0,15.0,58.0,1.0,01:18.52,180541.0,2021,games
4.0,33.0,16.0,1.0,CAP+11,180541.0,2021,games
5.0,14.0,61.0,1.0,12:42.38,180541.0,2021,games
6.0,4.0,91.0,1.0,05:52.50,180541.0,2021,games
7.0,3.0,94.0,1.0,05:23.83,180541.0,2021,games
8.0,14.0,61.0,1.0,03:34.22,180541.0,2021,games
9.0,2.0,97.0,1.0,03:37.93,180541.0,2021,games
10.0,9.0,68.0,1.0,21:46.73,180541.0,2021,games
11.0,14.0,35.0,1.0,208 rep,180541.0,2021,games
12.0,10.0,55.0,1.0,280.0 lb,180541.0,2021,games
13.0,9.0,60.0,1.0,07:47.55,180541.0,2021,games
14.0,20.0,5.0,1.0,CAP+36,180541.0,2021,games
