ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
1.0,5.0,900490.0,1.0,6:50,811708.0,2023,quarterfinals
2.0,1.0,5750000.0,1.0,575 reps,811708.0,2023,quarterfinals
3.0,15.0,400320.0,1.0,4:40,811708.0,2023,quarterfinals
4.0,1.0,6000000.0,1.0,600 reps,811708.0,2023,quarterfinals
5.0,5.0,900644.0,1.0,4:16,811708.0,2023,quarterfinals
1.0,7.0,900482.0,1.0,6:58,158264.0,2023,quarterfinals
2.0,12.0,5080000.0,1.0,508 reps,158264.0,2023,quarterfinals
3.0,15.0,400320.0,1.0,4:40,158264.0,2023,quarterfinals
4.0,5.0,5900000.0,1.0,590 reps,158264.0,2023,quarterfinals
5.0,1.0,900651.0,1.0,4:09,158264.0,2023,quarterfinals
1.0,121.0,900388.0,1.0,8:32,671093.0,2023,quarterfinals
2.0,8.0,5130000.0,1.0,513 reps,671093.0,2023,quarterfinals
3.0,14.0,400322.0,1.0,4:38,671093.0,2023,quarterfinals
4.0,4.0,5910000.0,1.0,591 reps,671093.0,2023,quarterfinals
5.0,7.0,900639.0,1.0,4:21,671093.0,2023,quarterfinals
1.0,3.0,900499.0,1.0,6:41,327636.0,2023,quarterfinals
2.0,63.0,4540000.0,1.0,454 reps,327636.0,2023,quarterfinals
3.0,76.0,400278.0,1.0,5:22,327636.0,2023,quarterfinals
4.0,3.0,5920000.0,1.0,592 reps,327636.0,2023,quarterfinals
5.0,23.0,900616.0,1.0,4:44,327636.0,2023,quarterfinals
1.0,45.0,900431.0,1.0,7:49,469656.0,2023,quarterfinals
2.0,2.0,5360000.0,1.0,536 reps,469656.0,2023,quarterfinals
3.0,3.0,400348.0,1.0,4:12,469656.0,2023,quarterfinals
4.0,119.0,5550000.0,1.0,555 reps,469656.0,2023,quarterfinals
5.0,3.0,900645.0,1.0,4:15,469656.0,2023,quarterfinals
1.0,52.0,900427.0,1.0,7:53,2725.0,2023,quarterfinals
2.0,24.0,4900000.0,1.0,490 reps,2725.0,2023,quarterfinals
3.0,99.0,400265.0,1.0,5:35,2725.0,2023,quarterfinals
4.0,18.0,5790000.0,1.0,579 reps,2725.0,2023,quarterfinals
5.0,26.0,900612.0,1.0,4:48,2725.0,2023,quarterfinals
1.0,9.0,900481.0,1.0,6:59,1657300.0,2023,quarterfinals
2.0,134.0,4400000.0,1.0,440 reps,1657300.0,2023,quarterfinals
3.0,12.0,400325.0,1.0,4:35,1657300.0,2023,quarterfinals
4.0,34.0,5740000.0,1.0,574 reps,1657300.0,2023,quarterfinals
5.0,41.0,900603.0,1.0,4:57,1657300.0,2023,quarterfinals
1.0,36.0,900439.0,1.0,7:41,1718365.0,2023,quarterfinals
2.0,22.0,4910000.0,1.0,491 reps,1718365.0,2023,quarterfinals
3.0,79.0,400276.0,1.0,5:24,1718365.0,2023,quarterfinals
4.0,14.0,5820000.0,1.0,582 reps,1718365.0,2023,quarterfinals
5.0,79.0,900589.0,1.0,5:11,1718365.0,2023,quarterfinals
1.0,40.0,900435.0,1.0,7:45,81616.0,2023,quarterfinals
2.0,31.0,4790000.0,1.0,479 reps,81616.0,2023,quarterfinals
3.0,97.0,400266.0,1.0,5:34,81616.0,2023,quarterfinals
4.0,30.0,5750000.0,1.0,575 reps,81616.0,2023,quarterfinals
5.0,84.0,900588.0,1.0,5:12,81616.0,2023,quarterfinals
1.0,1.0,900551.0,1.0,5:49,1978208.0,2023,quarterfinals
2.0,32.0,4760000.0,1.0,476 reps,1978208.0,2023,quarterfinals
3.0,127.0,400255.0,1.0,5:45,1978208.0,2023,quarterfinals
4.0,58.0,5670000.0,1.0,567 reps,1978208.0,2023,quarterfinals
5.0,65.0,900594.0,1.0,5:06,1978208.0,2023,quarterfinals
1.0,15.0,900468.0,1.0,7:12,162712.0,2023,quarterfinals
2.0,55.0,4570000.0,1.0,457 reps,162712.0,2023,quarterfinals
3.0,182.0,400241.0,1.0,5:59,162712.0,2023,quarterfinals
4.0,58.0,5670000.0,1.0,567 reps,162712.0,2023,quarterfinals
5.0,15.0,900625.0,1.0,4:35,162712.0,2023,quarterfinals
1.0,52.0,900427.0,1.0,7:53,1059467.0,2023,quarterfinals
2.0,14.0,5070000.0,1.0,507 reps,1059467.0,2023,quarterfinals
3.0,178.0,400242.0,1.0,5:58,1059467.0,2023,quarterfinals
4.0,17.0,5800000.0,1.0,580 reps,1059467.0,2023,quarterfinals
5.0,72.0,900592.0,1.0,5:08,1059467.0,2023,quarterfinals
1.0,59.0,900423.0,1.0,7:57,843041.0,2023,quarterfinals
2.0,12.0,5080000.0,1.0,508 reps,843041.0,2023,quarterfinals
3.0,20.0,400316.0,1.0,4:44,843041.0,2023,quarterfinals
4.0,58.0,5670000.0,1.0,567 reps,843041.0,2023,quarterfinals
5.0,209.0,900562.0,1.0,5:38,843041.0,2023,quarterfinals
1.0,179.0,900363.0,1.0,8:57,323300.0,2023,quarterfinals
2.0,7.0,5200000.0,1.0,520 reps,323300.0,2023,quarterfinals
3.0,101.0,400264.0,1.0,5:36,323300.0,2023,quarterfinals
4.0,21.0,5780000.0,1.0,578 reps,323300.0,2023,quarterfinals
5.0,51.0,900601.0,1.0,4:59,323300.0,2023,quarterfinals
1.0,47.0,900430.0,1.0,7:50,40955.0,2023,quarterfinals
2.0,223.0,4320000.0,1.0,432 reps,40955.0,2023,quarterfinals
3.0,67.0,400282.0,1.0,5:18,40955.0,2023,quarterfinals
4.0,30.0,5750000.0,1.0,575 reps,40955.0,2023,quarterfinals
5.0,8.0,900637.0,1.0,4:23,40955.0,2023,quarterfinals
1.0,104.0,900393.0,1.0,8:27,1312584.0,2023,quarterfinals
2.0,93.0,4470000.0,1.0,447 reps,1312584.0,2023,quarterfinals
3.0,60.0,400285.0,1.0,5:15,1312584.0,2023,quarterfinals
4.0,65.0,5640000.0,1.0,564 reps,1312584.0,2023,quarterfinals
5.0,88.0,900587.0,1.0,5:13,1312584.0,2023,quarterfinals
1.0,76.0,900408.0,1.0,8:12,867741.0,2023,quarterfinals
2.0,36.0,4700000.0,1.0,470 reps,867741.0,2023,quarterfinals
3.0,15.0,400320.0,1.0,4:40,867741.0,2023,quarterfinals
4.0,204.0,5490000.0,1.0,549 reps,867741.0,2023,quarterfinals
5.0,84.0,900588.0,1.0,5:12,867741.0,2023,quarterfinals
1.0,6.0,900488.0,1.0,6:52,310970.0,2023,quarterfinals
2.0,72.0,4510000.0,1.0,451 reps,310970.0,2023,quarterfinals
3.0,311.0,400201.0,1.0,6:39,310970.0,2023,quarterfinals
4.0,35.0,5730000.0,1.0,573 reps,310970.0,2023,quarterfinals
5.0,5.0,900644.0,1.0,4:16,310970.0,2023,quarterfinals
1.0,271.0,900336.0,1.0,9:24,975774.0,2023,quarterfinals
