ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
1.0,256.0,4200147.0,1.0,7:33,180541.0,2021,quarterfinals
2.0,12.0,3780293.0,1.0,15:07,180541.0,2021,quarterfinals
3.0,19.0,2400409.0,1.0,8:11,180541.0,2021,quarterfinals
4.0,201.0,380.0,1.0,380 lbs,180541.0,2021,quarterfinals
5.0,114.0,360269.0,1.0,2:31,180541.0,2021,quarterfinals
1.0,151.0,4200161.0,1.0,7:19,106655.0,2021,quarterfinals
2.0,214.0,3780074.0,1.0,18:46,106655.0,2021,quarterfinals
3.0,49.0,2400398.0,1.0,8:22,106655.0,2021,quarterfinals
4.0,60.0,400.0,1.0,400 lbs,106655.0,2021,quarterfinals
5.0,141.0,360266.0,1.0,2:34,106655.0,2021,quarterfinals
1.0,225.0,4200150.0,1.0,7:30,469626.0,2021,quarterfinals
2.0,6.0,3780313.0,1.0,14:47,469626.0,2021,quarterfinals
3.0,276.0,2400361.0,1.0,8:59,469626.0,2021,quarterfinals
4.0,105.0,390.0,1.0,390 lbs,469626.0,2021,quarterfinals
5.0,10.0,360295.0,1.0,2:05,469626.0,2021,quarterfinals
1.0,142.0,4200162.0,1.0,7:18,74320.0,2021,quarterfinals
2.0,23.0,3780249.0,1.0,15:51,74320.0,2021,quarterfinals
3.0,119.0,2400381.0,1.0,8:39,74320.0,2021,quarterfinals
4.0,156.0,385.0,1.0,385 lbs,74320.0,2021,quarterfinals
5.0,186.0,360261.0,1.0,2:39,74320.0,2021,quarterfinals
1.0,112.0,4200166.0,1.0,7:14,843041.0,2021,quarterfinals
2.0,169.0,3780095.0,1.0,18:25,843041.0,2021,quarterfinals
3.0,252.0,2400364.0,1.0,8:56,843041.0,2021,quarterfinals
4.0,92.0,395.0,1.0,395 lbs,843041.0,2021,quarterfinals
5.0,19.0,360291.0,1.0,2:09,843041.0,2021,quarterfinals
1.0,12.0,4200192.0,1.0,6:48,153625.0,2021,quarterfinals
2.0,18.0,3780260.0,1.0,15:40,153625.0,2021,quarterfinals
3.0,100.0,2400385.0,1.0,8:35,153625.0,2021,quarterfinals
4.0,220.0,377.0,1.0,377 lbs,153625.0,2021,quarterfinals
5.0,299.0,360251.0,1.0,2:49,153625.0,2021,quarterfinals
1.0,220.0,4200151.0,1.0,7:29,483096.0,2021,quarterfinals
2.0,60.0,3780193.0,1.0,16:47,483096.0,2021,quarterfinals
3.0,135.0,2400379.0,1.0,8:41,483096.0,2021,quarterfinals
4.0,220.0,377.0,1.0,377 lbs,483096.0,2021,quarterfinals
5.0,68.0,360276.0,1.0,2:24,483096.0,2021,quarterfinals
1.0,112.0,4200166.0,1.0,7:14,371085.0,2021,quarterfinals
2.0,434.0,3780010.0,1.0,19:50,371085.0,2021,quarterfinals
3.0,67.0,2400394.0,1.0,8:26,371085.0,2021,quarterfinals
4.0,105.0,390.0,1.0,390 lbs,371085.0,2021,quarterfinals
5.0,16.0,360292.0,1.0,2:08,371085.0,2021,quarterfinals
1.0,4.0,4200201.0,1.0,6:39,173837.0,2021,quarterfinals
2.0,11.0,3780295.0,1.0,15:05,173837.0,2021,quarterfinals
3.0,104.0,2400384.0,1.0,8:36,173837.0,2021,quarterfinals
4.0,547.0,360.0,1.0,360 lbs,173837.0,2021,quarterfinals
5.0,85.0,360273.0,1.0,2:27,173837.0,2021,quarterfinals
1.0,339.0,4200139.0,1.0,7:41,14960.0,2021,quarterfinals
2.0,162.0,3780098.0,1.0,18:22,14960.0,2021,quarterfinals
3.0,17.0,2400410.0,1.0,8:10,14960.0,2021,quarterfinals
4.0,189.0,381.0,1.0,381 lbs,14960.0,2021,quarterfinals
5.0,63.0,360277.0,1.0,2:23,14960.0,2021,quarterfinals
1.0,392.0,4200134.0,1.0,7:46,11244.0,2021,quarterfinals
2.0,83.0,3780154.0,1.0,17:26,11244.0,2021,quarterfinals
3.0,164.0,2400374.0,1.0,8:46,11244.0,2021,quarterfinals
4.0,17.0,417.0,1.0,417 lbs,11244.0,2021,quarterfinals
5.0,127.0,360268.0,1.0,2:32,11244.0,2021,quarterfinals
1.0,358.0,4200137.0,1.0,7:43,357704.0,2021,quarterfinals
2.0,80.0,3780161.0,1.0,17:19,357704.0,2021,quarterfinals
3.0,32.0,2400403.0,1.0,8:17,357704.0,2021,quarterfinals
4.0,314.0,372.0,1.0,372 lbs,357704.0,2021,quarterfinals
5.0,10.0,360295.0,1.0,2:05,357704.0,2021,quarterfinals
1.0,27.0,4200185.0,1.0,6:55,123764.0,2021,quarterfinals
2.0,21.0,3780255.0,1.0,15:45,123764.0,2021,quarterfinals
3.0,270.0,2400362.0,1.0,8:58,123764.0,2021,quarterfinals
4.0,419.0,366.0,1.0,366 lbs,123764.0,2021,quarterfinals
5.0,74.0,360275.0,1.0,2:25,123764.0,2021,quarterfinals
1.0,289.0,4200144.0,1.0,7:36,996106.0,2021,quarterfinals
2.0,200.0,3780080.0,1.0,18:40,996106.0,2021,quarterfinals
3.0,97.0,2400386.0,1.0,8:34,996106.0,2021,quarterfinals
4.0,39.0,405.0,1.0,405 lbs,996106.0,2021,quarterfinals
5.0,186.0,360261.0,1.0,2:39,996106.0,2021,quarterfinals
1.0,126.0,4200164.0,1.0,7:16,43761.0,2021,quarterfinals
2.0,225.0,3780070.0,1.0,18:50,43761.0,2021,quarterfinals
3.0,178.0,2400372.0,1.0,8:48,43761.0,2021,quarterfinals
4.0,130.0,387.0,1.0,387 lbs,43761.0,2021,quarterfinals
5.0,152.0,360265.0,1.0,2:35,43761.0,2021,quarterfinals
1.0,156.0,4200160.0,1.0,7:20,504209.0,2021,quarterfinals
2.0,134.0,3780118.0,1.0,18:02,504209.0,2021,quarterfinals
3.0,313.0,2400358.0,1.0,9:02,504209.0,2021,quarterfinals
