ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
1.0,4.0,88.0,1.0,335.0 lb,811708.0,2022,semifinals
2.0,4.0,88.0,1.0,10:07.45,811708.0,2022,semifinals
3.0,7.0,76.0,1.0,02:52.91,811708.0,2022,semifinals
4.0,1.0,100.0,1.0,21:48.39,811708.0,2022,semifinals
5.0,3.0,92.0,1.0,11:50.76,811708.0,2022,semifinals
6.0,2.0,96.0,1.0,05:55.18,811708.0,2022,semifinals
1.0,7.0,76.0,1.0,325.0 lb,1020449.0,2022,semifinals
2.0,2.0,96.0,1.0,09:21.26,1020449.0,2022,semifinals
3.0,12.0,56.0,1.0,03:02.20,1020449.0,2022,semifinals
4.0,7.0,76.0,1.0,23:13.35,1020449.0,2022,semifinals
5.0,6.0,80.0,1.0,11:55.36,1020449.0,2022,semifinals
6.0,5.0,84.0,1.0,06:12.04,1020449.0,2022,semifinals
1.0,7.0,76.0,1.0,325.0 lb,1718365.0,2022,semifinals
2.0,3.0,92.0,1.0,09:34.50,1718365.0,2022,semifinals
3.0,18.0,37.0,1.0,03:15.33,1718365.0,2022,semifinals
4.0,2.0,96.0,1.0,22:00.63,1718365.0,2022,semifinals
5.0,7.0,76.0,1.0,11:57.90,1718365.0,2022,semifinals
6.0,6.0,80.0,1.0,06:18.23,1718365.0,2022,semifinals
1.0,1.0,100.0,1.0,345.0 lb,897110.0,2022,semifinals
2.0,19.0,34.0,1.0,11:23.06,897110.0,2022,semifinals
3.0,6.0,80.0,1.0,02:52.63,897110.0,2022,semifinals
4.0,3.0,92.0,1.0,22:49.62,897110.0,2022,semifinals
5.0,12.0,56.0,1.0,12:34.29,897110.0,2022,semifinals
6.0,12.0,56.0,1.0,07:00.79,897110.0,2022,semifinals
1.0,17.0,40.0,1.0,305.0 lb,35627.0,2022,semifinals
2.0,6.0,80.0,1.0,10:24.52,35627.0,2022,semifinals
3.0,9.0,68.0,1.0,02:56.61,35627.0,2022,semifinals
4.0,20.0,31.0,1.0,CAP+10,35627.0,2022,semifinals
5.0,5.0,84.0,1.0,11:54.77,35627.0,2022,semifinals
6.0,1.0,100.0,1.0,05:43.29,35627.0,2022,semifinals
1.0,24.0,19.0,1.0,295.0 lb,900251.0,2022,semifinals
2.0,1.0,100.0,1.0,09:14.98,900251.0,2022,semifinals
3.0,2.0,96.0,1.0,02:47.63,900251.0,2022,semifinals
4.0,6.0,80.0,1.0,23:13.24,900251.0,2022,semifinals
5.0,4.0,88.0,1.0,11:53.04,900251.0,2022,semifinals
6.0,24.0,19.0,1.0,08:54.84,900251.0,2022,semifinals
1.0,1.0,100.0,1.0,345.0 lb,681073.0,2022,semifinals
2.0,15.0,46.0,1.0,11:03.47,681073.0,2022,semifinals
3.0,13.0,52.0,1.0,03:02.90,681073.0,2022,semifinals
4.0,16.0,43.0,1.0,CAP,681073.0,2022,semifinals
5.0,13.0,52.0,1.0,12:38.38,681073.0,2022,semifinals
6.0,4.0,88.0,1.0,06:11.33,681073.0,2022,semifinals
1.0,6.0,80.0,1.0,330.0 lb,313457.0,2022,semifinals
2.0,17.0,40.0,1.0,11:12.06,313457.0,2022,semifinals
3.0,17.0,40.0,1.0,03:14.60,313457.0,2022,semifinals
4.0,11.0,60.0,1.0,24:30.38,313457.0,2022,semifinals
5.0,11.0,60.0,1.0,12:33.46,313457.0,2022,semifinals
6.0,3.0,92.0,1.0,06:01.85,313457.0,2022,semifinals
1.0,21.0,28.0,1.0,300.0 lb,1454081.0,2022,semifinals
2.0,5.0,84.0,1.0,10:12.52,1454081.0,2022,semifinals
3.0,19.0,34.0,1.0,03:26.53,1454081.0,2022,semifinals
4.0,4.0,88.0,1.0,23:03.45,1454081.0,2022,semifinals
5.0,2.0,96.0,1.0,11:23.67,1454081.0,2022,semifinals
6.0,22.0,25.0,1.0,08:44.96,1454081.0,2022,semifinals
1.0,28.0,7.0,1.0,290.0 lb,1271103.0,2022,semifinals
2.0,9.0,68.0,1.0,10:31.45,1271103.0,2022,semifinals
3.0,8.0,72.0,1.0,02:54.89,1271103.0,2022,semifinals
4.0,10.0,64.0,1.0,24:06.57,1271103.0,2022,semifinals
5.0,10.0,64.0,1.0,12:32.36,1271103.0,2022,semifinals
6.0,7.0,76.0,1.0,06:23.29,1271103.0,2022,semifinals
1.0,21.0,28.0,1.0,300.0 lb,534247.0,2022,semifinals
2.0,11.0,60.0,1.0,10:40.77,534247.0,2022,semifinals
3.0,22.0,25.0,1.0,03:28.73,534247.0,2022,semifinals
4.0,12.0,56.0,1.0,24:30.83,534247.0,2022,semifinals
5.0,1.0,100.0,1.0,11:15.65,534247.0,2022,semifinals
6.0,9.0,68.0,1.0,06:45.07,534247.0,2022,semifinals
1.0,14.0,49.0,1.0,310.0 lb,916348.0,2022,semifinals
2.0,12.0,56.0,1.0,10:43.95,916348.0,2022,semifinals
3.0,3.0,92.0,1.0,02:49.20,916348.0,2022,semifinals
4.0,17.0,40.0,1.0,CAP+1,916348.0,2022,semifinals
5.0,8.0,72.0,1.0,12:10.80,916348.0,2022,semifinals
6.0,23.0,22.0,1.0,08:50.64,916348.0,2022,semifinals
1.0,17.0,40.0,1.0,305.0 lb,43761.0,2022,semifinals
2.0,28.0,7.0,1.0,11:58.50,43761.0,2022,semifinals
3.0,20.0,31.0,1.0,03:27.27,43761.0,2022,semifinals
4.0,8.0,72.0,1.0,23:24.13,43761.0,2022,semifinals
5.0,9.0,68.0,1.0,12:29.39,43761.0,2022,semifinals
6.0,10.0,64.0,1.0,06:45.45,43761.0,2022,semifinals
1.0,17.0,40.0,1.0,305.0 lb,505544.0,2022,semifinals
2.0,8.0,72.0,1.0,10:28.60,505544.0,2022,semifinals
3.0,5.0,84.0,1.0,02:51.87,505544.0,2022,semifinals
4.0,23.0,22.0,1.0,CAP+20,505544.0,2022,semifinals
5.0,22.0,25.0,1.0,13:38.12,505544.0,2022,semifinals
6.0,19.0,34.0,1.0,08:23.06,505544.0,2022,semifinals
1.0,11.0,60.0,1.0,320.0 lb,325873.0,2022,semifinals
2.0,10.0,64.0,1.0,10:32.72,325873.0,2022,semifinals
3.0,29.0,4.0,1.0,06:00.95,325873.0,2022,semifinals
4.0,15.0,46.0,1.0,24:58.77,325873.0,2022,semifinals
5.0,15.0,46.0,1.0,12:51.14,325873.0,2022,semifinals
6.0,13.0,52.0,1.0,07:14.36,325873.0,2022,semifinals
1.0,12.0,56.0,1.0,315.0 lb,473970.0,2022,semifinals
2.0,22.0,25.0,1.0,11:33.28,473970.0,2022,semifinals
3.0,4.0,88.0,1.0,02:51.11,473970.0,2022,semifinals
4.0,28.0,7.0,1.0,CAP+99,473970.0,2022,semifinals
5.0,19.0,34.0,1.0,13:12.67,473970.0,2022,semifinals
6.0,11.0,60.0,1.0,06:55.09,473970.0,2022,semifinals
1.0,14.0,49.0,1.0,310.0 lb,99564.0,2022,semifinals
2.0,18.0,37.0,1.0,11:15.95,99564.0,2022,semifinals
3.0,11.0,60.0,1.0,02:59.60,99564.0,2022,semifinals
4.0,14.0,49.0,1.0,24:56.03,99564.0,2022,semifinals
5.0,24.0,19.0,1.0,13:46.76,99564.0,2022,semifinals
6.0,14.0,49.0,1.0,07:21.84,99564.0,2022,semifinals
1.0,12.0,56.0,1.0,315.0 lb,402035.0,2022,semifinals
2.0,20.0,31.0,1.0,11:28.21,402035.0,2022,semifinals
3.0,21.0,28.0,1.0,03:28.09,402035.0,2022,semifinals
