competitorId,gender,countryOfOriginName,regionName,affiliateId,age,overallRank,overallScore,year,height_cm,weight_kg,bmi,open_rank,open_score,quarterfinals_rank,quarterfinals_score,semifinals_rank,semifinals_score
163097.0,0,1.0,4,19593.0,27.0,1.0,1435.0,2021,163.0,58.0,21.829952199932254,1.0,26.0,1.0,100.0,1.0,588.0
591912.0,0,10.0,2,22540.0,24.0,2.0,1179.0,2021,170.0,70.0,24.221453287197235,52.0,845.0,3.0,185.0,2.0,544.0
18588.0,0,11.0,2,2025.0,31.0,3.0,1099.0,2021,170.0,69.0,23.87543252595156,118.0,1501.0,39.0,766.0,3.0,528.0
120480.0,0,18.0,2,372.0,35.0,4.0,1064.0,2021,162.0,59.0,22.481329065691202,17.0,414.0,10.0,241.0,1.0,572.0
671666.0,0,29.0,3,3220.0,20.0,5.0,995.0,2021,171.0,64.0,21.887076365377382,10.0,307.0,56.0,963.0,2.0,528.0
764556.0,0,19.0,2,12162.0,22.0,6.0,972.0,2021,170.0,75.0,25.95155709342561,12.0,330.0,9.0,234.0,3.0,528.0
1239980.0,0,29.0,3,22721.0,17.0,7.0,963.0,2021,161.0,62.0,23.9188302920412,5.0,211.0,5.0,211.0,2.0,604.0
310687.0,0,29.0,3,16832.0,32.0,8.0,959.0,2021,158.0,60.0,24.034609838166958,4.0,189.0,18.0,472.0,2.0,328.0
174547.0,0,29.0,3,505.0,29.0,9.0,936.0,2021,171.0,73.0,24.96494647925858,20.0,463.0,8.0,222.0,4.0,468.0
55121.0,0,11.0,2,505.0,28.0,10.0,921.0,2021,169.0,69.0,24.158817968558527,14.0,376.0,47.0,848.0,3.0,472.0
349097.0,0,29.0,3,7589.0,25.0,11.0,917.0,2021,170.0,71.0,24.56747404844291,13.0,363.0,12.0,302.0,3.0,573.0
239442.0,0,13.0,2,25711.0,31.0,12.0,868.0,2021,165.0,65.0,23.875114784205696,6.0,232.0,19.0,483.0,1.0,548.0
19501.0,0,11.0,2,3834.0,29.0,13.0,723.0,2021,164.0,59.0,21.936347412254616,29.0,573.0,59.0,1034.0,5.0,460.0
132258.0,0,29.0,3,3927.0,27.0,14.0,717.0,2021,161.0,65.0,25.076193048107708,243.0,2596.0,118.0,1520.0,1.0,608.0
