competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
665223,Michal Wesolowski,Michal,Wesolowski,ACT,,M,f03eb-P665223_2-184.jpg,PL,Poland,,29,Europe,1,29893,CrossFit Strong House,30,184 cm,98 kg,0,,0
81616,Björgvin Karl Guðmundsson,Björgvin Karl,Guðmundsson,ACT,,M,4c5dc-P81616_4-184.jpg,IS,Iceland,,29,Europe,1,4860,CrossFit Hengill,30,178 cm,190 lb,0,,0
234569,David Shorunke,David,Shorunke,ACT,,M,819dd-P234569_8-184.jpg,GB,United Kingdom,,29,Europe,1,29213,High Performance CrossFit,33,189 cm,103 kg,0,,0
1762608,Morteza Sedaghat,Morteza,Sedaghat,ACT,,M,f1621-P1762608_2-184.jpg,IR,Iran,,28,Asia,1,None,,28,172 cm,89 kg,0,,0
250172,Bronislaw Olenkowicz,Bronislaw,Olenkowicz,ACT,,M,1e26c-P250172_3-184.jpg,PL,Poland,,29,Europe,1,29893,CrossFit Strong House,34,182 cm,99 kg,0,,0
680734,Henrik Haapalainen,Henrik,Haapalainen,ACT,,M,520e8-P680734_2-184.jpg,FI,Finland,,29,Europe,1,7050,CrossFit Basement,28,185 cm,94 kg,0,,0
925870,Moritz Fiebig,Moritz,Fiebig,ACT,,M,7c303-P925870_3-184.jpg,DE,Germany,,29,Europe,1,32297,CrossFit Sankt Pauli,28,179 cm,95 kg,0,,0
1059467,Lazar Đukić,Lazar,Đukić,ACT,,M,17a2b-P1059467_5-184.jpg,RS,Serbia,,29,Europe,1,20389,Nero CrossFit,27,182 cm,93 kg,0,,0
672425,Arthur Semenov,Arthur,Semenov,ACT,,M,eed3b-P672425_1-184.jpg,RU,,,28,Asia,1,31907,EA CrossFit,30,189 cm,99 kg,0,,0
1657300,Fabian Beneito,Fabian,Beneito,ACT,,M,d4ea8-P1657300_1-184.jpg,ES,Spain,,29,Europe,1,17272,CrossFit Zarautz,27,178 cm,90 kg,0,,0
472642,Uldis Upenieks,Uldis,Upenieks,ACT,,M,87095-P472642_8-184.jpg,LV,Latvia,,29,Europe,1,None,,25,174 cm,85 kg,0,,0
173837,Jonne Koski,Jonne,Koski,ACT,,M,9f8e1-P173837_3-184.jpg,FI,Finland,,29,Europe,1,7526,CrossFit 10K,28,171 cm,190 lb,0,,0
926366,Jelle Hoste,Jelle,Hoste,ACT,,M,3d4fa-P926366_4-184.jpg,BE,Belgium,,29,Europe,1,14886,CrossFit Kortrijk,28,190 cm,98 kg,0,,0
2064040,Kalyan Souza,Kalyan,Souza,ACT,,M,853f2-P2064040_2-184.jpg,BR,Brazil,,33,South America,1,17913,CrossFit Al Ain,22,184 cm,92 kg,0,,0
843041,Nick Mathew,Nick,Mathew,ACT,,M,2b1a8-P843041_3-184.jpg,US,United States,,34,North America West,1,14452,CrossFit Minnetonka,29,69 in,200 lb,0,,0
811708,Justin Medeiros,Justin,Medeiros,ACT,,M,672d4-P811708_4-184.jpg,US,United States,,34,North America West,1,1792,CrossFit Fort Vancouver,24,69 in,195 lb,0,,0
107101,Brent Fikowski,Brent,Fikowski,ACT,,M,9c4bb-P107101_11-184.jpg,CA,Canada,,34,North America West,1,None,,32,74 in,220 lb,0,,0
2725,Noah Ohlsen,Noah,Ohlsen,ACT,,M,0a0bc-P2725_5-184.jpg,US,United States,,35,North America East,1,2509,Peak 360 CrossFit,32,67 in,190 lb,0,,0
1718365,Cole Greashaber,Cole,Greashaber,ACT,,M,0a81b-P1718365_3-184.jpg,US,United States,,34,North America West,1,1232,CrossFit Lee's Summit (LS),23,72 in,212 lb,0,,0
479759,Bayley Martin,Bayley,Martin,ACT,,M,b0134-P479759_1-184.jpg,NZ,New Zealand,,32,Oceania,1,15606,CrossFit Selwyn,23,174 cm,82 kg,0,,0
74320,Samuel Kwant,Samuel,Kwant,ACT,,M,a9afa-P74320_4-184.jpg,US,United States,,34,North America West,1,None,,27,71 in,206 lb,0,,0
469626,Chandler Smith,Chandler,Smith,ACT,,M,3b4a0-P469626_6-184.jpg,US,United States,,34,North America West,1,600,CrossFit Invictus,30,68 in,195 lb,0,,0
258151,Jake Douglas,Jake,Douglas,ACT,,M,4bf60-P258151_3-184.jpg,AU,Australia,,32,Oceania,1,9586,Snake CrossFit,32,172 cm,202 lb,0,,0
901503,Kaique Cerveny,Kaique,Cerveny,ACT,,M,72230-P901503_2-184.jpg,BR,Brazil,,33,South America,1,32095,CrossFit Lago Sul,25,1 cm,96 kg,0,,0
