ordinal,rank,score,valid,scoreDisplay,scoreIdentifier,mobileScoreDisplay,scaled,video,heat,lane,breakdown,competitorId,judge,judge_user_id,affiliate,points
3,8,72,1,02:54.89,068bbbcb3149b18380ad,,0,0,,,72 pts,1271103,,,,
4,10,64,1,24:06.57,dd39634ea9b311aafaa6,,0,0,,,64 pts,1271103,,,,
5,10,64,1,12:32.36,cbbb5523754ed8c1c399,,0,0,,,64 pts,1271103,,,,
6,7,76,1,06:23.29,f1b6c19737a9652dedbe,,0,0,,,76 pts,1271103,,,,
1,21,28,1,300.0 lb,656c2e7c29983de889f4,,0,0,,,28 pts,534247,,,,
2,11,60,1,10:40.77,60282f98d87bf2d6faa6,,0,0,,,60 pts,534247,,,,
3,22,25,1,03:28.73,382b145296d8795ec142,,0,0,,,25 pts,534247,,,,
4,12,56,1,24:30.83,1d6942e9517a1b1f1b82,,0,0,,,56 pts,534247,,,,
5,1,100,1,11:15.65,ab20eaed75c0de653a86,,0,0,,,100 pts,534247,,,,
6,9,68,1,06:45.07,44c3d940680c2682512c,,0,0,,,68 pts,534247,,,,
1,14,49,1,310.0 lb,33c16f94ffcedc89e9ca,,0,0,,,49 pts,916348,,,,
2,12,56,1,10:43.95,26926073e78f70cf5e5b,,0,0,,,56 pts,916348,,,,
3,3,92,1,02:49.20,d54d0f0f2edb6b6302b4,,0,0,,,92 pts,916348,,,,
4,17,40,1,CAP+1,577bb734ec9a5ec8b5a5,,0,0,,,40 pts,916348,,,,
5,8,72,1,12:10.80,06835665600d852d9579,,0,0,,,72 pts,916348,,,,
6,23,22,1,08:50.64,447960e00afa1c1943fa,,0,0,,,22 pts,916348,,,,
1,17,40,1,305.0 lb,d95c348c9ab25c8df0ec,,0,0,,,40 pts,43761,,,,
2,28,7,1,11:58.50,4cd978975438a6feb048,,0,0,,,7 pts,43761,,,,
3,20,31,1,03:27.27,769598c6898d8f3eb24f,,0,0,,,31 pts,43761,,,,
4,8,72,1,23:24.13,7c750936fa6ec2442bd6,,0,0,,,72 pts,43761,,,,
5,9,68,1,12:29.39,08c6a96e6b8c1d5c69a1,,0,0,,,68 pts,43761,,,,
6,10,64,1,06:45.45,ac7647bb54ba61981052,,0,0,,,64 pts,43761,,,,
1,17,40,1,305.0 lb,dc8053a5dcd9010d5e6a,,0,0,,,40 pts,505544,,,,
2,8,72,1,10:28.60,5411525d1228411f74f6,,0,0,,,72 pts,505544,,,,
3,5,84,1,02:51.87,9917950dfe6ece4ad44e,,0,0,,,84 pts,505544,,,,
4,23,22,1,CAP+20,69dfdd5df04a46280613,,0,0,,,22 pts,505544,,,,
5,22,25,1,13:38.12,2bc4deac18bc689c9eec,,0,0,,,25 pts,505544,,,,
6,19,34,1,08:23.06,d2d6027c2dcfe7170562,,0,0,,,34 pts,505544,,,,
1,11,60,1,320.0 lb,5f1475b5f2119c328a2e,,0,0,,,60 pts,325873,,,,
2,10,64,1,10:32.72,182f8bacadfd1117eea2,,0,0,,,64 pts,325873,,,,
3,29,4,1,06:00.95,c4d6ebbdda67860cb6df,,0,0,,,4 pts,325873,,,,
4,15,46,1,24:58.77,0bb8b8fca7ff54484618,,0,0,,,46 pts,325873,,,,
5,15,46,1,12:51.14,324e9cd10327de4f1b32,,0,0,,,46 pts,325873,,,,
6,13,52,1,07:14.36,c950ee4774a0d5bc0e59,,0,0,,,52 pts,325873,,,,
1,12,56,1,315.0 lb,5726b518806c4e145cad,,0,0,,,56 pts,473970,,,,
2,22,25,1,11:33.28,f70cabf2e0d65dae4d7e,,0,0,,,25 pts,473970,,,,
3,4,88,1,02:51.11,f3d0e7b7971d4222f32c,,0,0,,,88 pts,473970,,,,
4,28,7,1,CAP+99,6269e934dc36c0b14396,,0,0,,,7 pts,473970,,,,
5,19,34,1,13:12.67,6c699bcea9f84eb52521,,0,0,,,34 pts,473970,,,,
6,11,60,1,06:55.09,5367dbf2830549857401,,0,0,,,60 pts,473970,,,,
1,14,49,1,310.0 lb,96fadf8a019cc75a9809,,0,0,,,49 pts,99564,,,,
2,18,37,1,11:15.95,bbb1444be80ac6729aaf,,0,0,,,37 pts,99564,,,,
3,11,60,1,02:59.60,ba345d2c044a62f59501,,0,0,,,60 pts,99564,,,,
4,14,49,1,24:56.03,27c0437c9a7bed981759,,0,0,,,49 pts,99564,,,,
5,24,19,1,13:46.76,be28184744cb89211fa7,,0,0,,,19 pts,99564,,,,
6,14,49,1,07:21.84,be59794cfbd1fe9537d5,,0,0,,,49 pts,99564,,,,
1,12,56,1,315.0 lb,2d702c65f88ecb7d7d8b,,0,0,,,56 pts,402035,,,,
2,20,31,1,11:28.21,65a6dc2796b44673207d,,0,0,,,31 pts,402035,,,,
3,21,28,1,03:28.09,c0f3bb84f6bebfc95e25,,0,0,,,28 pts,402035,,,,
4,18,37,1,CAP+1,987df88b519525481561,,0,0,,,37 pts,402035,,,,
5,20,31,1,13:30.08,8c75346d6bfa5925959a,,0,0,,,31 pts,402035,,,,
6,8,72,1,06:25.23,29da2b89bbac5d47ec6a,,0,0,,,72 pts,402035,,,,
1,17,40,1,305.0 lb,6130723a25003f701c5d,,0,0,,,40 pts,1169278,,,,
2,14,49,1,10:55.30,7806c92bf0730bbb9fca,,0,0,,,49 pts,1169278,,,,
3,10,64,1,02:59.23,12bd45333cf04b1c6266,,0,0,,,64 pts,1169278,,,,
4,19,34,1,CAP+2,9f88a623856d805f5e53,,0,0,,,34 pts,1169278,,,,
5,26,13,1,14:03.68,1d9a10b63687cf428f3f,,0,0,,,13 pts,1169278,,,,
6,15,46,1,07:34.98,bdebb1187ff98ffc1fce,,0,0,,,46 pts,1169278,,,,
1,24,19,1,295.0 lb,8f7aca4ec5931e629a40,,0,0,,,19 pts,1045503,,,,
2,29,4,1,11:59.02,40e0e77605c05a13e210,,0,0,,,4 pts,1045503,,,,
3,1,100,1,02:45.00,10e6753fa94cb3cabbf2,,0,0,,,100 pts,1045503,,,,
4,13,52,1,24:42.40,7355c4a53d396fab82c9,,0,0,,,52 pts,1045503,,,,
5,14,49,1,12:48.40,71a3c447394e4e0a4da7,,0,0,,,49 pts,1045503,,,,
6,26,13,1,09:18.53,0586ed4e99a8f6cdeda6,,0,0,,,13 pts,1045503,,,,
1,28,7,1,290.0 lb,5dc5e3292ccae524b414,,0,0,,,7 pts,367955,,,,
2,13,52,1,10:53.90,f55509b87a9902604d8a,,0,0,,,52 pts,367955,,,,
3,28,7,1,04:19.75,572e60ad91f0634df082,,0,0,,,7 pts,367955,,,,
4,5,84,1,23:13.15,3b7772b1ab6a26c1603b,,0,0,,,84 pts,367955,,,,
5,17,40,1,13:10.38,74a4bdf5f2d1bfb58c2b,,0,0,,,40 pts,367955,,,,
6,18,37,1,08:17.29,f27fdc808cf40436bf71,,0,0,,,37 pts,367955,,,,
1,3,92,1,340.0 lb,ae43b25ff1c4992facbf,,0,0,,,92 pts,1031875,,,,
2,25,16,1,11:40.96,4c897d92143edeca8b5b,,0,0,,,16 pts,1031875,,,,
3,15,46,1,03:05.69,f772eb3a29afdc860775,,0,0,,,46 pts,1031875,,,,
4,27,10,1,CAP+82,867852cc641b94a74dee,,0,0,,,10 pts,1031875,,,,
5,28,7,1,14:33.60,8e3227f84a150c36d838,,0,0,,,7 pts,1031875,,,,
6,17,40,1,07:50.35,9d58fe001dd262c34672,,0,0,,,40 pts,1031875,,,,
1,7,76,1,325.0 lb,2d8a91e08a2bec0edff4,,0,0,,,76 pts,117991,,,,
2,21,28,1,11:31.43,79bf3f06232a43bc33bc,,0,0,,,28 pts,117991,,,,
3,25,16,1,03:52.91,8c0fbb19092d199328e8,,0,0,,,16 pts,117991,,,,
4,22,25,1,CAP+17,e57bcd5927f50ccc31ea,,0,0,,,25 pts,117991,,,,
5,25,16,1,13:48.74,dbf5ad4559a6b99427fe,,0,0,,,16 pts,117991,,,,
6,20,31,1,08:23.71,3f65acbf703f5ce968c5,,0,0,,,31 pts,117991,,,,
1,24,19,1,295.0 lb,2f51f705ab4a1fc82cdb,,0,0,,,19 pts,449514,,,,
2,24,19,1,11:36.61,443311dd4959ea29ff92,,0,0,,,19 pts,449514,,,,
3,16,43,1,03:09.20,a5102784a3cdd682b6a3,,0,0,,,43 pts,449514,,,,
4,24,19,1,CAP+59,988f8a1ba3b30453097b,,0,0,,,19 pts,449514,,,,
5,16,43,1,13:02.53,4a97039b70e1c0580078,,0,0,,,43 pts,449514,,,,
6,16,43,1,07:39.26,efcd41cc3635aec9ae4e,,0,0,,,43 pts,449514,,,,
1,21,28,1,300.0 lb,4ade6b097e7a30a0ce1a,,0,0,,,28 pts,34435,,,,
2,16,43,1,11:07.16,1820568048eea9383462,,0,0,,,43 pts,34435,,,,
3,26,13,1,03:53.84,b714b0e674d2fbc67708,,0,0,,,13 pts,34435,,,,
4,21,28,1,CAP+13,53c80ecde76a84913d5f,,0,0,,,28 pts,34435,,,,
5,18,37,1,13:11.51,a8ec1e8220fb9f60832b,,0,0,,,37 pts,34435,,,,
6,21,28,1,08:27.61,23a5f941d8c6506a70f8,,0,0,,,28 pts,34435,,,,
1,24,19,1,295.0 lb,06fd2127fe7c09167875,,0,0,,,19 pts,478734,,,,
2,23,22,1,11:36.16,c5423668f7aa6305681c,,0,0,,,22 pts,478734,,,,
3,27,10,1,04:19.34,f5cb9be89be511bc95e6,,0,0,,,10 pts,478734,,,,
4,9,68,1,24:03.56,1e3dae58b3da8e206823,,0,0,,,68 pts,478734,,,,
5,23,22,1,13:43.29,80c67da648ae08e8e3a2,,0,0,,,22 pts,478734,,,,
6,28,7,1,CAP+5,9891b0311c0657ce115d,,0,0,,,7 pts,478734,,,,
1,7,76,1,325.0 lb,e55306c458c428004e45,,0,0,,,76 pts,487845,,,,
2,27,10,1,11:48.18,3c9bb0d2a42f2119d5bb,,0,0,,,10 pts,487845,,,,
3,24,19,1,03:51.61,dd4930bb0a2a741ad891,,0,0,,,19 pts,487845,,,,
4,25,16,1,CAP+64,ff09740361e32e8496b6,,0,0,,,16 pts,487845,,,,
5,27,10,1,14:12.92,896f1f596fa309092f1a,,0,0,,,10 pts,487845,,,,
6,25,16,1,09:00.49,5f3af190611c8be003f9,,0,0,,,16 pts,487845,,,,
1,14,49,1,310.0 lb,486f6df8fd7fa9461e34,,0,0,,,49 pts,1209621,,,,
2,26,13,1,11:44.00,a3cfb537cddb0169af6b,,0,0,,,13 pts,1209621,,,,
3,23,22,1,03:47.07,75bc188ab1d8d9cf3689,,0,0,,,22 pts,1209621,,,,
4,26,13,1,CAP+65,5113cd5e961d297410e0,,0,0,,,13 pts,1209621,,,,
5,21,28,1,13:35.86,eb87760998190a69447a,,0,0,,,28 pts,1209621,,,,
6,27,10,1,CAP+1,860d561e89f7ddcf7113,,0,0,,,10 pts,1209621,,,,
1,4,88,1,335.0 lb,273bf95da34176023bfa,,0,0,,,88 pts,34796,,,,
2,7,76,1,10:27.45,1d82928570150b1179c6,,0,0,,,76 pts,34796,,,,
3,14,49,1,03:02.95,f63a98c2306780de5638,,0,0,,,49 pts,34796,,,,
4,29,0,,WD,758901d07f631df8250d,,0,0,,,,34796,,,,
5,29,0,,,66f2acc65fd98d671f39,,0,0,,,,34796,,,,
6,29,0,,,e15808a27f06a768978f,,0,0,,,,34796,,,,
1,30,0,,WD,71549b093dfc2aa34d48,,0,0,,,,932990,,,,
2,30,0,,,69baa089694da88c3e89,,0,0,,,,932990,,,,
3,30,0,,,432a6b628b21d809981e,,0,0,,,,932990,,,,
4,29,0,,,914155597a1ea1adc197,,0,0,,,,932990,,,,
5,29,0,,,ceb44233942ded0e9bfd,,0,0,,,,932990,,,,
6,29,0,,,7cacbef0c59fbd34d310,,0,0,,,,932990,,,,
1,23,22,1,200.0 lb,8f6251f24c05f02380f6,,0,0,,,22 pts,671666,,,,
2,1,100,1,10:49.14,971badf23b8492f85c0c,,0,0,,,100 pts,671666,,,,
3,3,92,1,03:53.36,7a5b486ef4ed679603fa,,0,0,,,92 pts,671666,,,,
4,1,100,1,24:18.75,7fbbae3c8f04abbc016f,,0,0,,,100 pts,671666,,,,
5,2,96,1,12:38.77,7022d0b0be56c9d7605a,,0,0,,,96 pts,671666,,,,
6,3,92,1,07:19.78,4d149755828fcd046e40,,0,0,,,92 pts,671666,,,,
1,12,56,1,215.0 lb,bc204263a198923e7c6d,,0,0,,,56 pts,503582,,,,
2,4,88,1,11:36.40,0dd7f146ac6a4994dc63,,0,0,,,88 pts,503582,,,,
3,5,84,1,03:59.86,b664987c4cfb88fb28b8,,0,0,,,84 pts,503582,,,,
4,3,92,1,CAP+2,d6fbcfafdeae008cfea5,,0,0,,,92 pts,503582,,,,
5,4,88,1,13:12.31,2f82dd1cf9d69919df26,,0,0,,,88 pts,503582,,,,
6,4,88,1,07:20.13,81ebd7661ad079b4f522,,0,0,,,88 pts,503582,,,,
1,8,72,1,220.0 lb,8c19a500280c679cf9e9,,0,0,,,72 pts,531598,,,,
2,8,72,1,CAP+3,e84ad884da51db75b862,,0,0,,,72 pts,531598,,,,
3,4,88,1,03:54.29,3cb1d1559ac59146afba,,0,0,,,88 pts,531598,,,,
4,8,72,1,CAP+47,51418b048b02a984418d,,0,0,,,72 pts,531598,,,,
5,5,84,1,13:13.97,6b809338061ca6d864a9,,0,0,,,84 pts,531598,,,,
6,2,96,1,07:11.92,1c4b017e68ca05e89cd5,,0,0,,,96 pts,531598,,,,
1,12,56,1,215.0 lb,16fb1308af957fd91b87,,0,0,,,56 pts,310687,,,,
2,17,40,1,CAP+11,89e87e26d1a6b1fdc458,,0,0,,,40 pts,310687,,,,
3,1,100,1,03:21.28,d0aad01c15b7f1a0af4e,,0,0,,,100 pts,310687,,,,
4,6,80,1,CAP+22,4babf8251ac2246099a7,,0,0,,,80 pts,310687,,,,
5,1,100,1,12:31.29,ce1f5b94f0a3471bd9a9,,0,0,,,100 pts,310687,,,,
6,1,100,1,06:57.12,ab45d501b7054490ba50,,0,0,,,100 pts,310687,,,,
1,1,100,1,245.0 lb,e8d298e64df0f0d53ab4,,0,0,,,100 pts,656004,,,,
2,11,60,1,CAP+8,12a00861cbb080194631,,0,0,,,60 pts,656004,,,,
3,14,49,1,05:26.23,d91c834e2d30f42f023f,,0,0,,,49 pts,656004,,,,
4,5,84,1,CAP+21,6e0e67d02e0e7fc11540,,0,0,,,84 pts,656004,,,,
5,3,92,1,13:10.85,5918c20bcc3def40a56c,,0,0,,,92 pts,656004,,,,
6,5,84,1,07:38.92,7368e6474c7eb48c5e12,,0,0,,,84 pts,656004,,,,
1,16,43,1,210.0 lb,4d04eb03c0d2731267d3,,0,0,,,43 pts,132258,,,,
2,6,80,1,11:52.28,9430232d87d4e6d60c90,,0,0,,,80 pts,132258,,,,
3,8,72,1,04:21.77,1100f41e3eb320f73204,,0,0,,,72 pts,132258,,,,
4,2,96,1,24:21.54,b1e49057e571e954e075,,0,0,,,96 pts,132258,,,,
5,7,76,1,13:47.87,c765c3d45ccd7b6865cf,,0,0,,,76 pts,132258,,,,
6,10,64,1,08:39.15,2b4dcec9da16e18d4c27,,0,0,,,64 pts,132258,,,,
1,3,92,1,235.0 lb,142a8ee9e9cf8def8c5e,,0,0,,,92 pts,920973,,,,
2,3,92,1,11:30.45,2b0c8bf88583fac6317f,,0,0,,,92 pts,920973,,,,
3,10,64,1,04:31.85,ef0f8cb95e5d440f2061,,0,0,,,64 pts,920973,,,,
4,7,76,1,CAP+30,de10fa6b7cba80831ca4,,0,0,,,76 pts,920973,,,,
5,14,49,1,14:45.96,2b95160e484686e13005,,0,0,,,49 pts,920973,,,,
6,12,56,1,09:04.95,84538e54015e53c9921a,,0,0,,,56 pts,920973,,,,
1,16,43,1,210.0 lb,b91f218543689ac62600,,0,0,,,43 pts,280780,,,,
2,5,84,1,11:41.31,77e658f8d4d5280a8d03,,0,0,,,84 pts,280780,,,,
3,18,37,1,05:56.62,4bea31181ad70f59cae5,,0,0,,,37 pts,280780,,,,
4,4,88,1,CAP+18,7baf4f134ee914c19914,,0,0,,,88 pts,280780,,,,
5,6,80,1,13:30.01,1bee83810a3dd39dbe33,,0,0,,,80 pts,280780,,,,
6,9,68,1,08:23.72,4fa3363562becab34804,,0,0,,,68 pts,280780,,,,
1,12,56,1,215.0 lb,cabc58d121941c8db4f2,,0,0,,,56 pts,615284,,,,
2,17,40,1,CAP+11,b09c0a7f57294fe1a4fb,,0,0,,,40 pts,615284,,,,
3,6,80,1,04:00.46,de7b11b6affd86fad68f,,0,0,,,80 pts,615284,,,,
4,12,56,1,CAP+67,100fe6f2a4805f4ab0b3,,0,0,,,56 pts,615284,,,,
5,8,72,1,14:06.97,70418f501c80cf1e5343,,0,0,,,72 pts,615284,,,,
6,7,76,1,07:55.62,f52dde4e6afa425a6fc4,,0,0,,,76 pts,615284,,,,
1,5,84,1,225.0 lb,db7931638382d14c51d4,,0,0,,,84 pts,1306393,,,,
2,8,72,1,CAP+3,14eda1dd7a838ffa3af7,,0,0,,,72 pts,1306393,,,,
3,13,52,1,05:09.80,0b13a1137c733babec43,,0,0,,,52 pts,1306393,,,,
4,11,60,1,CAP+66,856daee5f34d15a581ca,,0,0,,,60 pts,1306393,,,,
5,21,28,1,CAP+1,48d98ab886c507745ccf,,0,0,,,28 pts,1306393,,,,
6,6,80,1,07:51.66,6cf9493d091703b9d156,,0,0,,,80 pts,1306393,,,,
1,19,34,1,205.0 lb,b9a21e98391143836f87,,0,0,,,34 pts,1344968,,,,
2,10,64,1,CAP+6,6c8fde12489a44a19436,,0,0,,,64 pts,1344968,,,,
3,2,96,1,03:52.34,7675911c25dd48c652d5,,0,0,,,96 pts,1344968,,,,
4,9,68,1,CAP+50,b9ee36ca96c1288ef44c,,0,0,,,68 pts,1344968,,,,
5,9,68,1,14:07.10,6550b210777d74426dd0,,0,0,,,68 pts,1344968,,,,
6,18,37,1,CAP+2,4301542b66b0bf30aaff,,0,0,,,37 pts,1344968,,,,
1,12,56,1,215.0 lb,3c0142d26b469d2c85e0,,0,0,,,56 pts,448384,,,,
2,12,56,1,CAP+9,5d135cd76a7d6a6eb3eb,,0,0,,,56 pts,448384,,,,
3,15,46,1,05:29.95,ba497c5f9a531166cb10,,0,0,,,46 pts,448384,,,,
4,10,64,1,CAP+63,d3d3c00c68d87bc7e041,,0,0,,,64 pts,448384,,,,
5,17,40,1,14:52.03,b7583da375a56df3db06,,0,0,,,40 pts,448384,,,,
6,8,72,1,08:23.42,8bc2f358a2e085607d65,,0,0,,,72 pts,448384,,,,
1,8,72,1,220.0 lb,1e76d97f2d6b5b6d0095,,0,0,,,72 pts,511014,,,,
2,17,40,1,CAP+11,64d8d65552851fb5f9b7,,0,0,,,40 pts,511014,,,,
3,9,68,1,04:23.82,ed906bf99bee9c44f82f,,0,0,,,68 pts,511014,,,,
4,14,49,1,CAP+71,755d2244b11c407a91de,,0,0,,,49 pts,511014,,,,
5,15,46,1,14:47.59,699d00f6542419d3ae81,,0,0,,,46 pts,511014,,,,
6,23,22,1,CAP+4,9e705d3ec9180f229b5c,,0,0,,,22 pts,511014,,,,
1,5,84,1,225.0 lb,d392a2ba5627ce52d102,,0,0,,,84 pts,1151619,,,,
2,2,96,1,11:13.10,b7d8b924acc635b61e29,,0,0,,,96 pts,1151619,,,,
3,24,19,1,10:30.73,c3e7bf1739a227d09e15,,0,0,,,19 pts,1151619,,,,
4,15,46,1,CAP+74,9e8a40550866b1e05bb4,,0,0,,,46 pts,1151619,,,,
5,20,31,1,CAP+1,a3113778966d628aa650,,0,0,,,31 pts,1151619,,,,
6,25,16,1,CAP+14,a3575de9756cedacaf23,,0,0,,,16 pts,1151619,,,,
1,1,100,1,245.0 lb,9249a997159c8fe42f95,,0,0,,,100 pts,1220054,,,,
2,17,40,1,CAP+11,b28ff0d22251ccef0bc6,,0,0,,,40 pts,1220054,,,,
3,29,4,1,CAP+8,07179413e762fd4893a2,,0,0,,,4 pts,1220054,,,,
4,17,40,1,CAP+84,d1aa3e7fbde01d085fd0,,0,0,,,40 pts,1220054,,,,
5,19,34,1,14:59.88,a9ced56178679d49c8e7,,0,0,,,34 pts,1220054,,,,
6,13,52,1,09:10.69,efbc91247ce23c30907e,,0,0,,,52 pts,1220054,,,,
1,19,34,1,205.0 lb,2d7363fa652df02a34f9,,0,0,,,34 pts,2077209,,,,
2,14,49,1,CAP+10,1f4b0e7e9138273e683a,,0,0,,,49 pts,2077209,,,,
3,11,60,1,04:42.03,0d32eae2c3478a49245f,,0,0,,,60 pts,2077209,,,,
4,13,52,1,CAP+67,b810e3f51077106e9ff9,,0,0,,,52 pts,2077209,,,,
5,18,37,1,14:53.90,0a8995dbd89dc22c232a,,0,0,,,37 pts,2077209,,,,
6,18,37,1,CAP+2,1db7b0f686580b2de6d0,,0,0,,,37 pts,2077209,,,,
1,19,34,1,205.0 lb,4ac109c94511d95454f2,,0,0,,,34 pts,160026,,,,
2,17,40,1,CAP+11,65963ea96dc811c23bce,,0,0,,,40 pts,160026,,,,
3,16,43,1,05:43.25,b92a4d75f09b2a8267d6,,0,0,,,43 pts,160026,,,,
4,16,43,1,CAP+78,a0e150cd17cd540d4702,,0,0,,,43 pts,160026,,,,
5,13,52,1,14:37.24,6a6f825eb0f35bd5f913,,0,0,,,52 pts,160026,,,,
6,16,43,1,09:58.55,923d956a52156d6e38f4,,0,0,,,43 pts,160026,,,,
1,28,7,1,190.0 lb,a33cda1f17cc64b9237d,,0,0,,,7 pts,520294,,,,
2,17,40,1,CAP+11,fb9e15c9e4b7b98b984f,,0,0,,,40 pts,520294,,,,
3,7,76,1,04:11.47,cf5e5a7933a0fcad5c08,,0,0,,,76 pts,520294,,,,
4,21,28,1,CAP+102,115a74705195a9f58a4e,,0,0,,,28 pts,520294,,,,
5,16,43,1,14:50.76,37b1013c450848ca7bc8,,0,0,,,43 pts,520294,,,,
6,11,60,1,09:03.03,5d70a1bf44819c0d34b3,,0,0,,,60 pts,520294,,,,
1,5,84,1,225.0 lb,612b94c0328f4c25145c,,0,0,,,84 pts,900568,,,,
2,17,40,1,CAP+11,4936b44c488c93163ab2,,0,0,,,40 pts,900568,,,,
3,21,28,1,07:23.58,5306bfe069009885754c,,0,0,,,28 pts,900568,,,,
4,19,34,1,CAP+94,c9c15bb64da93d3fec44,,0,0,,,34 pts,900568,,,,
