ordinal,rank,score,valid,scoreDisplay,scoreIdentifier,mobileScoreDisplay,scaled,video,heat,lane,breakdown,competitorId,judge,judge_user_id,affiliate,points
6,13,52,1,05:37.83,8b54ccba9c0552ec937c,,0,0,,,52 pts,75165,,,,
1,12,56,1,CAP+25,24066d59b5e46c424d83,,0,0,,,56 pts,648048,,,,
2,8,72,1,05:02.05,c8ae9f0923d2534636fc,,0,0,,,72 pts,648048,,,,
3,23,22,1,185.0 lb,9561f7995308116a11da,,0,0,,,22 pts,648048,,,,
4,23,22,1,CAP+8,f7fa77b0f4e09a42806e,,0,0,,,22 pts,648048,,,,
5,19,34,1,10:33.97,9ce329e42427bbab3ce4,,0,0,,,34 pts,648048,,,,
6,30,1,1,CAP+4,d2901572ce1dc0eaa935,,0,0,,,1 pts,648048,,,,
1,22,25,1,CAP+44,f1eb4edc216f21326362,,0,0,,,25 pts,1263915,,,,
2,26,13,1,CAP+5,dbd35b9869b56bc5c947,,0,0,,,13 pts,1263915,,,,
3,11,60,1,205.0 lb,f26ce6be7051ce12988d,,0,0,,,60 pts,1263915,,,,
4,15,46,1,13:51.82,eafd492c30e901dc107c,,0,0,,,46 pts,1263915,,,,
5,14,49,1,09:04.87,fc1bd9f59491fb681c39,,0,0,,,49 pts,1263915,,,,
6,29,4,1,CAP+3,541c3fee2914fc3d23ea,,0,0,,,4 pts,1263915,,,,
1,24,19,1,CAP+47,bc04a752dec86c462ff3,,0,0,,,19 pts,1672646,,,,
2,21,28,1,09:11.85,915e2e706e6dee990592,,0,0,,,28 pts,1672646,,,,
3,11,60,1,205.0 lb,1add74d7a4bd8d106f1b,,0,0,,,60 pts,1672646,,,,
4,21,28,1,CAP+5,d680d4004e7b3b182c70,,0,0,,,28 pts,1672646,,,,
5,27,10,1,CAP+29,592930583de7e7490ea6,,0,0,,,10 pts,1672646,,,,
6,14,49,1,05:40.95,b7e73e64f2c73588800f,,0,0,,,49 pts,1672646,,,,
1,11,60,1,CAP+19,b99a362286b79b693e2d,,0,0,,,60 pts,28735,,,,
2,19,34,1,08:20.08,a42af010d8509f68c47d,,0,0,,,34 pts,28735,,,,
3,29,4,1,175.0 lb,b53e30a43c95e01a0611,,0,0,,,4 pts,28735,,,,
4,27,10,1,CAP+10,f0fdb9e808b88932e701,,0,0,,,10 pts,28735,,,,
5,9,68,1,08:10.11,1fbae1b55f3b79a856fd,,0,0,,,68 pts,28735,,,,
6,27,10,1,06:55.94,c3a7e206229b3477578e,,0,0,,,10 pts,28735,,,,
1,29,4,1,CAP+62,d72fc6d9b3da2c5467bc,,0,0,,,4 pts,1212617,,,,
2,13,52,1,05:52.56,d84b645b634f1ee46e94,,0,0,,,52 pts,1212617,,,,
3,23,22,1,185.0 lb,1a95b84ee926626d7f83,,0,0,,,22 pts,1212617,,,,
4,9,68,1,13:12.63,9fceb3b0a65ec00ffa58,,0,0,,,68 pts,1212617,,,,
5,29,4,1,CAP+55,18b563c5c4eac9808a73,,0,0,,,4 pts,1212617,,,,
6,20,31,1,05:58.80,8acdcedd3e265724a68d,,0,0,,,31 pts,1212617,,,,
1,23,22,1,CAP+45,4facdffd5bcec77bf83d,,0,0,,,22 pts,1224765,,,,
2,12,56,1,05:32.71,d927c8af1f165320cd74,,0,0,,,56 pts,1224765,,,,
3,23,22,1,185.0 lb,656711795d5f1bd332f1,,0,0,,,22 pts,1224765,,,,
4,28,7,1,CAP+11,ee8e2682216390aed01b,,0,0,,,7 pts,1224765,,,,
5,20,31,1,CAP+4,1dae129227c8ae295dff,,0,0,,,31 pts,1224765,,,,
6,19,34,1,05:57.95,402e469b0877e97113ec,,0,0,,,34 pts,1224765,,,,
1,26,13,1,CAP+56,ad22346c0792c0b335fd,,0,0,,,13 pts,670481,,,,
2,18,37,1,07:27.47,1c7f38456a522eeed075,,0,0,,,37 pts,670481,,,,
3,7,76,1,210.0 lb,61c7e8cb7ef439cb95d9,,0,0,,,76 pts,670481,,,,
4,25,16,1,CAP+9,034ffb111b9dbd8f702f,,0,0,,,16 pts,670481,,,,
5,30,1,1,CAP+64,058a60a4db07ab612c73,,0,0,,,1 pts,670481,,,,
6,23,22,1,06:12.69,2535cb75267193ec67ea,,0,0,,,22 pts,670481,,,,
1,20,31,1,CAP+42,f31478e1a73e0a393ba0,,0,0,,,31 pts,1321769,,,,
2,24,19,1,CAP+3,a31be059468b687efccb,,0,0,,,19 pts,1321769,,,,
3,28,7,1,180.0 lb,e8ee2519970507e47527,,0,0,,,7 pts,1321769,,,,
4,13,52,1,13:44.37,59a694213173af0ad885,,0,0,,,52 pts,1321769,,,,
5,28,7,1,CAP+31,ae5d9025d5603870b674,,0,0,,,7 pts,1321769,,,,
6,22,25,1,06:11.89,5ea305a846e7012eb8e6,,0,0,,,25 pts,1321769,,,,
1,19,34,1,CAP+41,2e48d3a5973cfef653c3,,0,0,,,34 pts,2185883,,,,
2,23,22,1,CAP+1,6fb1ce33196a92f3ab27,,0,0,,,22 pts,2185883,,,,
3,22,25,1,190.0 lb,bb1d5f07cc829cc1f9d7,,0,0,,,25 pts,2185883,,,,
4,30,1,1,CAP+17,c0acfc6c9d5ad10fd25d,,0,0,,,1 pts,2185883,,,,
5,17,40,1,10:16.62,fcd473c3a4a945a511ec,,0,0,,,40 pts,2185883,,,,
6,26,13,1,06:40.62,a9a85ee45f6dcce44e11,,0,0,,,13 pts,2185883,,,,
1,30,1,1,CAP+66,9032970d87efeb4226c7,,0,0,,,1 pts,1001544,,,,
2,26,13,1,CAP+5,63d6d35b19783cbea898,,0,0,,,13 pts,1001544,,,,
3,23,22,1,185.0 lb,2a09ab6b3b99aa6c9fa0,,0,0,,,22 pts,1001544,,,,
4,22,25,1,CAP+7,f16facd9d96f3b2942f0,,0,0,,,25 pts,1001544,,,,
5,25,16,1,CAP+8,fd630c1b9b1c3f4b818b,,0,0,,,16 pts,1001544,,,,
6,16,43,1,05:50.92,c3c0d6f9f492643391fc,,0,0,,,43 pts,1001544,,,,
1,25,16,1,CAP+53,9a387cdbfda24993ddff,,0,0,,,16 pts,10736,,,,
2,30,1,1,CAP+13,a788a31f3816761dfd2d,,0,0,,,1 pts,10736,,,,
3,23,22,1,185.0 lb,79396aceea57f818a2f0,,0,0,,,22 pts,10736,,,,
4,28,7,1,CAP+11,de4ba852137bfe2bba74,,0,0,,,7 pts,10736,,,,
5,26,13,1,CAP+11,d1bc6f077f2e8b3ff546,,0,0,,,13 pts,10736,,,,
6,25,16,1,06:36.66,1b5b27a5e13b79bbe15e,,0,0,,,16 pts,10736,,,,
1,5,84,1,325.0 lb,12dd902e850c3c26b926,,0,0,,,84 pts,310970,,,,
2,1,100,1,08:56.28,afceb109bbaa16f746b7,,0,0,,,100 pts,310970,,,,
3,2,96,1,02:47.92,8f35073043daff278838,,0,0,,,96 pts,310970,,,,
4,1,100,1,24:50.46,57e5786524bb1b2b87fc,,0,0,,,100 pts,310970,,,,
5,11,60,1,08:59.84,5af6243d8e2d2ea150b2,,0,0,,,60 pts,310970,,,,
6,1,100,1,04:12.37,945b4e08cb58b67c374e,,0,0,,,100 pts,310970,,,,
1,5,84,1,325.0 lb,c373090966c65d5f2697,,0,0,,,84 pts,671093,,,,
2,2,96,1,09:18.52,3fb3324335cd20f24af7,,0,0,,,96 pts,671093,,,,
3,3,92,1,02:50.15,8b018901a493fa805c17,,0,0,,,92 pts,671093,,,,
4,4,88,1,CAP+8,0caebe8605592fe9ca03,,0,0,,,88 pts,671093,,,,
5,5,84,1,08:38.53,6232b0e65f24563750d3,,0,0,,,84 pts,671093,,,,
6,7,76,1,04:58.09,ae89e032be6bfe4b2cf2,,0,0,,,76 pts,671093,,,,
1,8,72,1,320.0 lb,9bf1e6f91c58d23696f9,,0,0,,,72 pts,153625,,,,
2,5,84,1,09:52.80,594c217594a4fbc77af7,,0,0,,,84 pts,153625,,,,
3,12,56,1,03:04.34,b91c38b5fce48927caef,,0,0,,,56 pts,153625,,,,
4,3,92,1,CAP+4,acdad8f04b00b3534888,,0,0,,,92 pts,153625,,,,
5,3,92,1,08:26.81,3672cb92b0a0400e3ad6,,0,0,,,92 pts,153625,,,,
6,4,88,1,04:28.88,69345811041a15fa0ce1,,0,0,,,88 pts,153625,,,,
1,19,34,1,305.0 lb,e7d1912d2f8ad46082e6,,0,0,,,34 pts,2725,,,,
2,3,92,1,09:31.93,9eca2d3591c9203f532d,,0,0,,,92 pts,2725,,,,
3,10,64,1,03:02.69,386b1856a79547d46729,,0,0,,,64 pts,2725,,,,
4,4,88,1,CAP+8,35d3a4c01ffd8d9286f6,,0,0,,,88 pts,2725,,,,
5,2,96,1,08:23.84,94975812bf69b176cd65,,0,0,,,96 pts,2725,,,,
6,2,96,1,04:25.09,66d6cbb7300238cccfed,,0,0,,,96 pts,2725,,,,
1,16,43,1,310.0 lb,77f465e5cbd886f34238,,0,0,,,43 pts,162712,,,,
2,4,88,1,09:44.00,528f44788853cfd6dd79,,0,0,,,88 pts,162712,,,,
3,4,88,1,02:51.94,eddbd0119de0ee007688,,0,0,,,88 pts,162712,,,,
4,14,49,1,CAP+37,58291c935949e0651564,,0,0,,,49 pts,162712,,,,
5,7,76,1,08:45.67,6f9706d760ed4e1e62c1,,0,0,,,76 pts,162712,,,,
6,3,92,1,04:28.80,7d6dc03b1ca9bb1e36f7,,0,0,,,92 pts,162712,,,,
1,16,43,1,310.0 lb,d6724899c1fea7d29eab,,0,0,,,43 pts,45136,,,,
2,6,80,1,09:55.02,783c2d002fd6352b1f57,,0,0,,,80 pts,45136,,,,
3,18,37,1,03:21.79,4cc7ce717d78f70c77b8,,0,0,,,37 pts,45136,,,,
4,6,80,1,CAP+10,bbed15bc29de8c6de182,,0,0,,,80 pts,45136,,,,
5,1,100,1,08:22.81,10dd044488df220391b9,,0,0,,,100 pts,45136,,,,
6,5,84,1,04:30.23,efffdf0dfed9860d247c,,0,0,,,84 pts,45136,,,,
1,5,84,1,325.0 lb,1b6c94addd823f24e2d8,,0,0,,,84 pts,663689,,,,
2,7,76,1,10:07.58,48002558f86a8955b276,,0,0,,,76 pts,663689,,,,
3,8,72,1,03:01.01,c6e1c4d11d1c4909cc22,,0,0,,,72 pts,663689,,,,
4,11,60,1,CAP+25,dd4f0f0c05d77d3a00ce,,0,0,,,60 pts,663689,,,,
5,6,80,1,08:41.77,ffb763c18dd7c2fdfe50,,0,0,,,80 pts,663689,,,,
6,19,34,1,06:42.50,30090d6527ce643057d0,,0,0,,,34 pts,663689,,,,
1,11,60,1,315.0 lb,7cefb987710b30b231c1,,0,0,,,60 pts,323300,,,,
2,18,37,1,11:48.70,9789b84fbef1df6be0dd,,0,0,,,37 pts,323300,,,,
3,11,60,1,03:03.36,73a90beaac853f171e5d,,0,0,,,60 pts,323300,,,,
4,2,96,1,CAP+2,eea5d1456fdd6af585ab,,0,0,,,96 pts,323300,,,,
5,8,72,1,08:49.68,4ae54acc7b7399ff865d,,0,0,,,72 pts,323300,,,,
6,6,80,1,04:51.94,57f9e511b727ff893b3d,,0,0,,,80 pts,323300,,,,
1,11,60,1,315.0 lb,50eee20b7b41d57505c5,,0,0,,,60 pts,123764,,,,
2,9,68,1,10:14.94,7d13e527dc00436585b4,,0,0,,,68 pts,123764,,,,
3,7,76,1,02:58.68,f993ad3bdb88e5bc3619,,0,0,,,76 pts,123764,,,,
4,7,76,1,CAP+11,1ad1766bd2784f04563a,,0,0,,,76 pts,123764,,,,
5,12,56,1,09:03.66,d4f2239d87d86d8ae356,,0,0,,,56 pts,123764,,,,
6,10,64,1,05:32.84,6c22cdaf69e6c01dced0,,0,0,,,64 pts,123764,,,,
1,19,34,1,305.0 lb,14449ec1ea4f637504a1,,0,0,,,34 pts,1934516,,,,
2,22,25,1,13:49.85,d3e7ed23f0e53444a502,,0,0,,,25 pts,1934516,,,,
3,1,100,1,02:33.30,6d14a27b2801daf98deb,,0,0,,,100 pts,1934516,,,,
4,7,76,1,CAP+11,dfcc1b752050432e04e4,,0,0,,,76 pts,1934516,,,,
5,4,88,1,08:35.77,f1421d2f25d3db4e767f,,0,0,,,88 pts,1934516,,,,
6,13,52,1,05:53.90,1483d02852f4b7c4f79b,,0,0,,,52 pts,1934516,,,,
1,8,72,1,320.0 lb,1dbada999ce55e886677,,0,0,,,72 pts,642094,,,,
2,15,46,1,11:11.30,3d06e2887d35d9ac6819,,0,0,,,46 pts,642094,,,,
3,22,25,1,03:29.65,3ac22e2702378e54f62a,,0,0,,,25 pts,642094,,,,
4,7,76,1,CAP+11,4758eafb2d61dbe1fa21,,0,0,,,76 pts,642094,,,,
5,10,64,1,08:55.30,60ebf4b3d4a96e1e14ad,,0,0,,,64 pts,642094,,,,
6,11,60,1,05:38.16,917fa9dd0209782da05d,,0,0,,,60 pts,642094,,,,
1,1,100,1,335.0 lb,ac8e426101ca56c02665,,0,0,,,100 pts,235127,,,,
2,12,56,1,10:41.63,544c20af1ab6b180a35e,,0,0,,,56 pts,235127,,,,
3,5,84,1,02:52.07,9a26f2c31a176b46fd28,,0,0,,,84 pts,235127,,,,
4,26,13,1,CAP+63,7267d398260133248bfa,,0,0,,,13 pts,235127,,,,
5,21,28,1,10:06.71,d86190dd368a223b7193,,0,0,,,28 pts,235127,,,,
6,16,43,1,06:25.49,45f48553a34b6c344074,,0,0,,,43 pts,235127,,,,
1,11,60,1,315.0 lb,49800225ae9383ba8019,,0,0,,,60 pts,1289210,,,,
2,14,49,1,11:04.39,658290270ee789664106,,0,0,,,49 pts,1289210,,,,
3,13,52,1,03:07.30,f6a6702c7275bfac8824,,0,0,,,52 pts,1289210,,,,
4,12,56,1,CAP+33,f0bd692d1d6b02cfe808,,0,0,,,56 pts,1289210,,,,
5,15,46,1,09:37.41,9cec67a1bd1ae4982b7e,,0,0,,,46 pts,1289210,,,,
6,12,56,1,05:52.11,a4d97c2781dd9e677b23,,0,0,,,56 pts,1289210,,,,
1,11,60,1,315.0 lb,c909d2b4a141ecca7cbf,,0,0,,,60 pts,739342,,,,
2,13,52,1,10:47.22,9a18e918365a3c4e6f70,,0,0,,,52 pts,739342,,,,
3,21,28,1,03:29.60,06a60f34e88838c6b9ba,,0,0,,,28 pts,739342,,,,
4,13,52,1,CAP+36,06ebce73fff5f08c4474,,0,0,,,52 pts,739342,,,,
5,14,49,1,09:20.36,eab28d863141f0885e3d,,0,0,,,49 pts,739342,,,,
6,8,72,1,05:05.42,b82c7a9fcda49728a4e0,,0,0,,,72 pts,739342,,,,
1,26,13,1,295.0 lb,ae2cccd228ac555a749a,,0,0,,,13 pts,1289013,,,,
2,17,40,1,11:43.07,4b884aa1092d6e113a42,,0,0,,,40 pts,1289013,,,,
3,6,80,1,02:57.55,7a73b5bb9511260cc76e,,0,0,,,80 pts,1289013,,,,
4,24,19,1,CAP+62,fae55f4d303cc232d4fb,,0,0,,,19 pts,1289013,,,,
5,9,68,1,08:50.23,9b01c13c9ed85f899e1f,,0,0,,,68 pts,1289013,,,,
6,9,68,1,05:24.67,43a057294d71aa0678f4,,0,0,,,68 pts,1289013,,,,
1,23,22,1,300.0 lb,6febbf6c9fce6404c34e,,0,0,,,22 pts,877376,,,,
2,11,60,1,10:32.50,c4f2dee565cffedd9e0a,,0,0,,,60 pts,877376,,,,
3,9,68,1,03:02.65,dcfb7baa1866856e03c9,,0,0,,,68 pts,877376,,,,
4,17,40,1,CAP+62,d943ab73d6c7d5a05e52,,0,0,,,40 pts,877376,,,,
5,16,43,1,09:37.54,c7170eaff0701e23feac,,0,0,,,43 pts,877376,,,,
6,15,46,1,05:57.01,cc9ce39993b2795dd131,,0,0,,,46 pts,877376,,,,
1,26,13,1,295.0 lb,f2b02d18f9823bf7f43a,,0,0,,,13 pts,194457,,,,
2,20,31,1,13:30.24,09302c25217312797a98,,0,0,,,31 pts,194457,,,,
3,23,22,1,03:42.63,f1ada34a340208765ff2,,0,0,,,22 pts,194457,,,,
4,7,76,1,CAP+11,8e76078f39805e373de3,,0,0,,,76 pts,194457,,,,
5,13,52,1,09:12.28,cccb520b6560566a1bb5,,0,0,,,52 pts,194457,,,,
6,14,49,1,05:54.39,cc37107ab881f93bcdc8,,0,0,,,49 pts,194457,,,,
1,3,92,1,330.0 lb,989da9197ffab9c17ee1,,0,0,,,92 pts,1529807,,,,
2,25,16,1,CAP+7,5c4d564b4c20af4861d0,,0,0,,,16 pts,1529807,,,,
3,17,40,1,03:19.06,57608b66bbc68c151c77,,0,0,,,40 pts,1529807,,,,
4,21,28,1,CAP+62,9d1d6001654d8dbd24c1,,0,0,,,28 pts,1529807,,,,
5,20,31,1,10:05.43,15a8ee1620f145f4d703,,0,0,,,31 pts,1529807,,,,
6,25,16,1,07:41.17,b037d69b7496f50e583f,,0,0,,,16 pts,1529807,,,,
1,19,34,1,305.0 lb,5eb84af50a51409dcba4,,0,0,,,34 pts,95750,,,,
2,10,64,1,10:29.51,d9eb1931e9095817b936,,0,0,,,64 pts,95750,,,,
3,20,31,1,03:28.14,69fc14312239110495ef,,0,0,,,31 pts,95750,,,,
4,19,34,1,CAP+62,d6eee6c4287e7fc0a795,,0,0,,,34 pts,95750,,,,
5,19,34,1,09:47.71,0b7b83d9e5f753d0ff50,,0,0,,,34 pts,95750,,,,
6,22,25,1,06:54.63,6d4a9b587aa6a566624e,,0,0,,,25 pts,95750,,,,
1,11,60,1,315.0 lb,eb734ed2ea5d33098f6c,,0,0,,,60 pts,109346,,,,
2,16,43,1,11:24.26,661459e6135639db0106,,0,0,,,43 pts,109346,,,,
3,14,49,1,03:10.05,85452db0e0f869944b28,,0,0,,,49 pts,109346,,,,
4,22,25,1,CAP+62,819ff956991bbde164f1,,0,0,,,25 pts,109346,,,,
5,25,16,1,10:26.47,c9b927d8f1f808345956,,0,0,,,16 pts,109346,,,,
6,21,28,1,06:52.22,765061376ff783c5a4aa,,0,0,,,28 pts,109346,,,,
1,8,72,1,320.0 lb,f1c6d1a11dd39f6ed155,,0,0,,,72 pts,289710,,,,
2,19,34,1,13:30.03,ae942625301c2c558a7a,,0,0,,,34 pts,289710,,,,
3,26,13,1,04:36.15,a367d5cbd28df28f95c9,,0,0,,,13 pts,289710,,,,
4,18,37,1,CAP+62,c0ab2f76980f9683cf30,,0,0,,,37 pts,289710,,,,
5,23,22,1,10:11.96,d34de21cc02193b52342,,0,0,,,22 pts,289710,,,,
6,18,37,1,06:39.68,ac2e4b26542d6e5e6ce7,,0,0,,,37 pts,289710,,,,
1,1,100,1,335.0 lb,e98e16d41ee8cca15978,,0,0,,,100 pts,263026,,,,
2,27,10,1,CAP+11,6abf47739037620df658,,0,0,,,10 pts,263026,,,,
3,24,19,1,03:47.19,c9b002c66f7aa0139459,,0,0,,,19 pts,263026,,,,
4,23,22,1,CAP+62,e62ec16b746dd4cbcd3b,,0,0,,,22 pts,263026,,,,
5,26,13,1,10:54.00,2656836a9ca38c24aac0,,0,0,,,13 pts,263026,,,,
6,17,40,1,06:29.19,d1bbeb8d7970bd071043,,0,0,,,40 pts,263026,,,,
1,3,92,1,330.0 lb,0e7909a63271f87349a8,,0,0,,,92 pts,242732,,,,
2,8,72,1,10:12.29,0d1f07f825920fb7d190,,0,0,,,72 pts,242732,,,,
3,29,4,1,09:34.23,a4fe8ccfc62c96c5a3d9,,0,0,,,4 pts,242732,,,,
4,26,13,1,CAP+63,e0276a9547ad84e053a0,,0,0,,,13 pts,242732,,,,
5,27,10,1,11:07.69,8df3554ff0b6024b505c,,0,0,,,10 pts,242732,,,,
6,29,4,1,CAP+31,173b2dede588b9a7de26,,0,0,,,4 pts,242732,,,,
1,29,4,1,285.0 lb,66aa2f23c37349e5974e,,0,0,,,4 pts,1699284,,,,
2,21,28,1,13:47.29,69fe23e88bb40171f1fc,,0,0,,,28 pts,1699284,,,,
3,19,34,1,03:23.64,9f3e8954a996117779a6,,0,0,,,34 pts,1699284,,,,
4,15,46,1,CAP+44,060368cca291c58a8a46,,0,0,,,46 pts,1699284,,,,
5,17,40,1,09:40.47,d50c2069640b078075eb,,0,0,,,40 pts,1699284,,,,
6,23,22,1,07:11.90,913bd40a1242284eba3f,,0,0,,,22 pts,1699284,,,,
1,23,22,1,300.0 lb,6728e51cca1dd56f8dfa,,0,0,,,22 pts,105536,,,,
2,27,10,1,CAP+11,607e9a80647c26214b82,,0,0,,,10 pts,105536,,,,
3,16,43,1,03:16.43,5e7cf7a934e0bd9c00e1,,0,0,,,43 pts,105536,,,,
4,16,43,1,CAP+61,de898e451970c682e477,,0,0,,,43 pts,105536,,,,
5,18,37,1,09:43.23,56345cac9cf1f46bd8be,,0,0,,,37 pts,105536,,,,
6,28,7,1,CAP+15,633e19d269a4e5e768d8,,0,0,,,7 pts,105536,,,,
1,19,34,1,305.0 lb,9f7e4419ef515522dfe2,,0,0,,,34 pts,1145631,,,,
2,23,22,1,13:50.28,b42bde88a2ea9ebcc06c,,0,0,,,22 pts,1145631,,,,
3,25,16,1,04:00.62,d23e7d6ffb1da5fc5289,,0,0,,,16 pts,1145631,,,,
4,19,34,1,CAP+62,cfe9abb40663d5cf3f9f,,0,0,,,34 pts,1145631,,,,
5,24,19,1,10:21.17,3fffc73988ac883aae56,,0,0,,,19 pts,1145631,,,,
6,26,13,1,07:50.66,c6e24378340d502bd1bd,,0,0,,,13 pts,1145631,,,,
1,16,43,1,310.0 lb,0f35869de7ad9d06fc7d,,0,0,,,43 pts,239255,,,,
2,29,4,1,CAP+13,aae3bf577a651b1c1898,,0,0,,,4 pts,239255,,,,
3,28,7,1,08:26.28,71d172fe2ef08a056f83,,0,0,,,7 pts,239255,,,,
4,26,13,1,CAP+63,6960ef665dddbdc23ee2,,0,0,,,13 pts,239255,,,,
5,22,25,1,10:08.10,811e3a89c87194393c76,,0,0,,,25 pts,239255,,,,
6,20,31,1,06:45.13,3889afed88c55bbe5385,,0,0,,,31 pts,239255,,,,
1,28,7,1,290.0 lb,a1f0b67c964723aaa9cd,,0,0,,,7 pts,422268,,,,
2,24,19,1,CAP+3,3d8f53a479ac327bd15c,,0,0,,,19 pts,422268,,,,
3,15,46,1,03:12.66,47df1fb737cc5ad6d2c2,,0,0,,,46 pts,422268,,,,
4,25,16,1,CAP+62,ac95e4b91be290658f2c,,0,0,,,16 pts,422268,,,,
5,28,7,1,11:14.76,ef612bf0ab83697a21ac,,0,0,,,7 pts,422268,,,,
6,24,19,1,07:24.67,9488d4dcea1d50e4b156,,0,0,,,19 pts,422268,,,,
1,23,22,1,300.0 lb,360f6a5ce5d443d12476,,0,0,,,22 pts,257503,,,,
2,26,13,1,CAP+10,ab45049cab3358312186,,0,0,,,13 pts,257503,,,,
3,27,10,1,05:28.13,30e634ab3ea09e2b348a,,0,0,,,10 pts,257503,,,,
4,29,4,1,CAP+90,5834c7c9a4bc73493dbf,,0,0,,,4 pts,257503,,,,
5,29,4,1,12:56.31,14c86768dfe8e61d8fb0,,0,0,,,4 pts,257503,,,,
6,27,10,1,10:08.47,d816d89c33799192b3ca,,0,0,,,10 pts,257503,,,,
1,30,0,,WD,78dc85dc3816c6fbad9b,,0,0,,,,1053957,,,,
2,30,0,,,b772286ec3843d548889,,0,0,,,,1053957,,,,
3,30,0,,,d16ab9fc7d50edcca939,,0,0,,,,1053957,,,,
4,30,0,,,13c21dc83288ae6bdafa,,0,0,,,,1053957,,,,
5,30,0,,,df0abf418c264230da9d,,0,0,,,,1053957,,,,
6,30,0,,,2b60bea358f1c3ad6f72,,0,0,,,,1053957,,,,
1,13,52,1,210.0 lb,1183384056a583aa7d4b,,0,0,,,52 pts,349097,,,,
2,2,96,1,09:20.94,824e8d1fd5071bec0bea,,0,0,,,96 pts,349097,,,,
3,5,84,1,04:08.36,a0a68886ac3f82836d6a,,0,0,,,84 pts,349097,,,,
4,1,100,1,CAP+11,d3ca3213ad78834da53f,,0,0,,,100 pts,349097,,,,
5,1,100,1,08:48.88,9a842c71eb81541ba315,,0,0,,,100 pts,349097,,,,
6,1,100,1,05:03.32,163f39aea4057d2ae578,,0,0,,,100 pts,349097,,,,
1,2,96,1,225.0 lb,90b1e2a4823e9c1c308a,,0,0,,,96 pts,1441210,,,,
2,6,80,1,10:37.60,7a81e1265fdf45cd4a1f,,0,0,,,80 pts,1441210,,,,
3,1,100,1,03:43.60,f752d2cde83a55a7aed9,,0,0,,,100 pts,1441210,,,,
4,10,64,1,CAP+62,146bbadcf51589724833,,0,0,,,64 pts,1441210,,,,
5,5,84,1,09:41.49,daa53aa756e23bac38f4,,0,0,,,84 pts,1441210,,,,
6,4,88,1,05:51.27,7bcaa655736e733d01d1,,0,0,,,88 pts,1441210,,,,
1,13,52,1,210.0 lb,72d4c814a900063f03c0,,0,0,,,52 pts,585046,,,,
2,5,84,1,10:26.96,aa8f70f96aef9c5b1099,,0,0,,,84 pts,585046,,,,
3,2,96,1,03:51.68,d3366ed330785d2ef8a7,,0,0,,,96 pts,585046,,,,
4,7,76,1,CAP+62,93ea7ee4928bcff9680c,,0,0,,,76 pts,585046,,,,
5,3,92,1,09:16.85,9ddf82342eb419277fee,,0,0,,,92 pts,585046,,,,
6,6,80,1,06:25.12,1bb6cdf5f15fc4c5e556,,0,0,,,80 pts,585046,,,,
1,7,76,1,215.0 lb,1b1abb1ec5b09e71bead,,0,0,,,76 pts,168305,,,,
2,1,100,1,09:04.13,b304f8030523de089367,,0,0,,,100 pts,168305,,,,
3,24,19,1,07:14.58,6c383d0fc43aeecd8592,,0,0,,,19 pts,168305,,,,
4,3,92,1,CAP+52,0964596b72b9988de078,,0,0,,,92 pts,168305,,,,
5,2,96,1,09:14.58,25b03992fb76d3e42001,,0,0,,,96 pts,168305,,,,
6,11,60,1,07:10.83,c01d05bc655778be3bf7,,0,0,,,60 pts,168305,,,,
1,19,34,1,200.0 lb,1634c70424022575c57a,,0,0,,,34 pts,555277,,,,
2,4,88,1,10:09.50,120244f21e576b78deff,,0,0,,,88 pts,555277,,,,
3,4,88,1,04:03.14,2f5ebf749ed964142edb,,0,0,,,88 pts,555277,,,,
4,11,60,1,CAP+62,cb526cbd09349dc089bf,,0,0,,,60 pts,555277,,,,
5,6,80,1,10:00.20,44301dac9b28422cce44,,0,0,,,80 pts,555277,,,,
6,3,92,1,05:46.65,fcb2d64c70387c82778b,,0,0,,,92 pts,555277,,,,
1,7,76,1,215.0 lb,3a45bebb77c7356c93cb,,0,0,,,76 pts,40756,,,,
2,11,60,1,11:44.13,3b69d7d0894bd7e327e0,,0,0,,,60 pts,40756,,,,
3,8,72,1,04:35.76,779481ac7aa1ad629cf8,,0,0,,,72 pts,40756,,,,
4,4,88,1,CAP+58,805733edc22f7ba065eb,,0,0,,,88 pts,40756,,,,
5,14,49,1,10:38.13,f8fcaff7b2bde9c7dfd9,,0,0,,,49 pts,40756,,,,
6,2,96,1,05:38.07,c8011376d1fe0214c38a,,0,0,,,96 pts,40756,,,,
1,5,84,1,220.0 lb,aa0b95615f4652754562,,0,0,,,84 pts,530860,,,,
2,3,92,1,09:53.10,61d7358fc6c460b32a39,,0,0,,,92 pts,530860,,,,
3,30,1,1,CAP+2,c47b4f4c0bd073c19e4f,,0,0,,,1 pts,530860,,,,
4,5,84,1,CAP+61,be5e8a1618e8dfe25ada,,0,0,,,84 pts,530860,,,,
5,4,88,1,09:30.77,2ff9f37f463c0e8a9f6d,,0,0,,,88 pts,530860,,,,
6,5,84,1,06:05.83,a4bbcad572e78ab687e6,,0,0,,,84 pts,530860,,,,
1,13,52,1,210.0 lb,efd4288c397339bba542,,0,0,,,52 pts,510714,,,,
2,10,64,1,11:37.91,867e5c6c8db68ce16d0b,,0,0,,,64 pts,510714,,,,
3,7,76,1,04:21.67,05b8561ea652e314902d,,0,0,,,76 pts,510714,,,,
4,19,34,1,CAP+62,e3eb8d7369d48f6821e4,,0,0,,,34 pts,510714,,,,
