competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
478414.0,Agustin Richelme,Agustin,Richelme,M,Argentina,South America,25616.0,CrossFit SDC,25.0,173 cm,85 kg,38.0,194.0,2022,games
672425.0,Arthur Semenov,Arthur,Semenov,M,,Asia,14416.0,Red Tower CrossFit,29.0,189 cm,99 kg,39.0,125.0,2022,games
901467.0,Kealan Henry,Kealan,Henry,M,South Africa,Africa,29491.0,CrossFit HFS,29.0,168 cm,80 kg,40.0,62.0,2022,games
163097.0,Tia-Clair Toomey,Tia-Clair,Toomey,F,Australia,Oceania,19593.0,CrossFit East Nashville,28.0,163 cm,58 kg,1.0,1158.0,2022,games
1239980.0,Mallory O'Brien,Mallory,O'Brien,F,United States,North America,6897.0,802 CrossFit,18.0,63 in,135 lb,2.0,1045.0,2022,games
591912.0,Laura Horvath,Laura,Horvath,F,Hungary,Europe,22540.0,CrossFit Glasshouse,25.0,170 cm,70 kg,3.0,981.0,2022,games
349097.0,Danielle Brandon,Danielle,Brandon,F,United States,North America,6103.0,Rhino CrossFit,26.0,170 cm,150 lb,4.0,937.0,2022,games
168305.0,Brooke Wells,Brooke,Wells,F,United States,North America,19593.0,CrossFit East Nashville,27.0,66 in,150 lb,5.0,904.0,2022,games
1931423.0,Emma Lawson,Emma,Lawson,F,Canada,North America,21726.0,CrossFit PSC,17.0,65 in,140 lb,6.0,893.0,2022,games
2942.0,Kara Saunders,Kara,Saunders,F,Australia,Oceania,,,32.0,162 cm,162 lb,7.0,890.0,2022,games
764556.0,Gabriela Migała,Gabriela,Migała,F,Poland,Europe,12162.0,C23 CrossFit,23.0,170 cm,75 kg,8.0,868.0,2022,games
671666.0,Haley Adams,Haley,Adams,F,United States,North America,3220.0,CrossFit Mayhem,21.0,67 in,140 lb,9.0,867.0,2022,games
503582.0,Alexis Raptis,Alexis,Raptis,F,United States,North America,25335.0,TTT CrossFit,23.0,65 in,155 lb,10.0,859.0,2022,games
132258.0,Arielle Loewen,Arielle,Loewen,F,United States,North America,,,28.0,63 in,145 lb,11.0,828.0,2022,games
239442.0,Emma McQuaid,Emma,McQuaid,F,Ireland,Europe,25711.0,Boundary CrossFit,32.0,165 cm,65 kg,12.0,798.0,2022,games
310687.0,Kristi Eramo O'Connell,Kristi Eramo,O'Connell,F,United States,North America,16832.0,CrossFit Polaris,33.0,62 in,132 lb,13.0,785.0,2022,games
174547.0,Amanda Barnhart,Amanda,Barnhart,F,United States,North America,505.0,CrossFit New England,30.0,67 in,160 lb,14.0,778.0,2022,games
299053.0,Jacqueline Dahlstrøm,Jacqueline,Dahlstrøm,F,Norway,Europe,12162.0,C23 CrossFit,30.0,167 cm,67 kg,15.0,764.0,2022,games
1458106.0,Lucy Campbell,Lucy,Campbell,F,United Kingdom,Europe,1954.0,CrossFit Nottingham,26.0,168 cm,73 kg,16.0,760.0,2022,games
670000.0,Dani Speegle,Dani,Speegle,F,United States,North America,600.0,CrossFit Invictus,28.0,66 in,170 lb,17.0,750.0,2022,games
1119323.0,Ellie Turner,Ellie,Turner,F,Australia,Oceania,101.0,Deka CrossFit,24.0,167 cm,72 kg,18.0,728.0,2022,games
831149.0,Matilde Garnes,Matilde,Garnes,F,Norway,Europe,22538.0,CrossFit Trondheim,26.0,174 cm,70 kg,19.0,663.0,2022,games
698210.0,Karin Freyová,Karin,Freyová,F,Slovakia,Europe,22093.0,Alpha Prime CrossFit,27.0,170 cm,72 kg,20.0,642.0,2022,games
531598.0,Paige Semenza,Paige,Semenza,F,United States,North America,4938.0,CrossFit Vertex,30.0,63 in,143 lb,21.0,636.0,2022,games
19501.0,Thuridur Erla Helgadottir,Thuridur Erla,Helgadottir,F,Iceland,Europe,3834.0,CrossFit Zug,30.0,164 cm,59 kg,22.0,582.0,2022,games
239148.0,Carolyne Prevost,Carolyne,Prevost,F,Canada,North America,718.0,CrossFit Colosseum,32.0,63 in,145 lb,23.0,565.0,2022,games
1232297.0,Alex Willis,Alex,Willis,F,United States,North America,6103.0,Rhino CrossFit,20.0,66 in,150 lb,24.0,553.0,2022,games
1190381.0,Paige Powers,Paige,Powers,F,United States,North America,3220.0,CrossFit Mayhem,19.0,64 in,155 lb,25.0,509.0,2022,games
1346810.0,Seungyeon Choi,Seungyeon,Choi,F,"Korea, Republic of",Asia,17606.0,CrossFit Limelight,23.0,168 cm,155 lb,26.0,493.0,2022,games
656004.0,Christine Kolenbrander,Christine,Kolenbrander,F,United States,North America,29609.0,CrossFit 417,30.0,66 in,157 lb,27.0,488.0,2022,games
585046.0,Baylee Rayl,Baylee,Rayl,F,United States,North America,3220.0,CrossFit Mayhem,26.0,67 in,135 lb,28.0,455.0,2022,games
1544576.0,Seher Kaya,Seher,Kaya,F,Turkey,Asia,18749.0,CrossFit Elverum,24.0,161 cm,64 kg,29.0,443.0,2022,games
555277.0,Rebecca Fuselier,Rebecca,Fuselier,F,United States,North America,1524.0,CrossFit Bolt,22.0,62 in,127 lb,30.0,352.0,2022,games
1441210.0,Sydney Michalyshen,Sydney,Michalyshen,F,Canada,North America,505.0,CrossFit New England,22.0,168 cm,155 lb,31.0,342.0,2022,games
1207609.0,Freya Moosbrugger,Freya,Moosbrugger,F,Canada,North America,2126.0,CrossFit Fraser Valley,20.0,165 cm,69 kg,32.0,335.0,2022,games
221169.0,Victoria Campos,Victoria,Campos,F,Brazil,South America,3220.0,CrossFit Mayhem,29.0,161 cm,140 lb,33.0,318.0,2022,games
254824.0,Solveig Sigurdardottir,Solveig,Sigurdardottir,F,Iceland,Europe,21943.0,CrossFit Surbiton,27.0,170 cm,70 kg,34.0,299.0,2022,games
1983424.0,Elisa Fuliano,Elisa,Fuliano,F,Italy,Europe,16895.0,CrossFit Altessano,26.0,157 cm,60 kg,35.0,296.0,2022,games
314703.0,Caroline Conners,Caroline,Conners,F,United States,North America,1926.0,CrossFit MF,29.0,61 in,133 lb,36.0,281.0,2022,games
1558034.0,Julia Kato,Julia,Kato,F,Brazil,South America,17913.0,CrossFit Al Ain,22.0,159 cm,67 kg,37.0,258.0,2022,games
762495.0,Elena Carratala Sanahuja,Elena,Carratala Sanahuja,F,Spain,Europe,19523.0,CrossFit 4 Friends,28.0,164 cm,63 kg,38.0,223.0,2022,games
505225.0,Michelle Merand,Michelle,Merand,F,South Africa,Africa,,,33.0,158 cm,60 kg,39.0,210.0,2022,games
484380.0,Emily Rolfe,Emily,Rolfe,F,Canada,North America,22956.0,CrossFit Sea Level,33.0,170 cm,152 lb,40.0,61.0,2022,games
