competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
811708.0,Justin Medeiros,Justin,Medeiros,M,United States,North America,1792.0,CrossFit Fort Vancouver,22.0,69 in,195 lb,1.0,1234.0,2021,games
158264.0,Patrick Vellner,Patrick,Vellner,M,Canada,North America,1918.0,CrossFit Nanaimo,31.0,71 in,195 lb,2.0,1152.0,2021,games
107101.0,Brent Fikowski,Brent,Fikowski,M,Canada,North America,,,30.0,74 in,220 lb,3.0,1028.0,2021,games
81616.0,Björgvin Karl Guðmundsson,Björgvin Karl,Guðmundsson,M,Iceland,Europe,4860.0,CrossFit Hengill,28.0,178 cm,190 lb,4.0,1004.0,2021,games
310970.0,Saxon Panchik,Saxon,Panchik,M,United States,North America,22505.0,CrossFit Cliffside,25.0,69 in,180 lb,5.0,996.0,2021,games
173837.0,Jonne Koski,Jonne,Koski,M,Finland,Europe,7526.0,CrossFit 10K,26.0,171 cm,190 lb,6.0,965.0,2021,games
686308.0,Guilherme Malheiros,Guilherme,Malheiros,M,Brazil,South America,10585.0,Cavaleiros CrossFit,21.0,177 cm,88 kg,7.0,958.0,2021,games
180541.0,Alex Vigneault,Alex,Vigneault,M,Canada,North America,,,29.0,71 in,205 lb,8.0,912.0,2021,games
1059467.0,Lazar Đukić,Lazar,Đukić,M,Serbia,Europe,11487.0,CrossFit NS,25.0,182 cm,90 kg,9.0,887.0,2021,games
2725.0,Noah Ohlsen,Noah,Ohlsen,M,United States,North America,2509.0,Peak 360 CrossFit,30.0,67 in,188 lb,10.0,873.0,2021,games
34796.0,Scott Panchik,Scott,Panchik,M,United States,North America,7991.0,CrossFit Mentality,33.0,69 in,187 lb,11.0,840.0,2021,games
1690.0,Travis Mayer,Travis,Mayer,M,United States,North America,7104.0,CrossFit UNTD,30.0,71 in,204 lb,12.0,822.0,2021,games
