competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
811708.0,Justin Medeiros,Justin,Medeiros,M,United States,North America,1792.0,CrossFit Fort Vancouver,23.0,69 in,195 lb,1.0,540.0,2022,semifinals
1020449.0,Jayson Hopper,Jayson,Hopper,M,United States,North America,15471.0,CrossFit Crash,24.0,73 in,220 lb,2.0,468.0,2022,semifinals
1718365.0,Cole Greashaber,Cole,Greashaber,M,United States,North America,1232.0,CrossFit Lee's Summit (LS),22.0,72 in,212 lb,3.0,457.0,2022,semifinals
897110.0,Tudor Magda,Tudor,Magda,M,United States,North America,22721.0,Lion Brave CrossFit,19.0,70 in,200 lb,4.0,418.0,2022,semifinals
35627.0,Will Moorad,Will,Moorad,M,United States,North America,19593.0,CrossFit East Nashville,33.0,69 in,190 lb,5.0,403.0,2022,semifinals
900251.0,James Sprague,James,Sprague,M,United States,North America,1893.0,CrossFit Naples,20.0,74 in,210 lb,6.0,402.0,2022,semifinals
681073.0,Griffin Roelle,Griffin,Roelle,M,United States,North America,8533.0,CrossFit Dwala,30.0,70 in,205 lb,7.0,381.0,2022,semifinals
313457.0,Jacob Pfaff,Jacob,Pfaff,M,United States,North America,22787.0,CrossFit Noble Defender,30.0,67 in,215 lb,8.0,372.0,2022,semifinals
1454081.0,Matt Poulin,Matt,Poulin,M,United States,North America,1526.0,CrossFit Complete,26.0,70 in,195 lb,9.0,355.0,2022,semifinals
1271103.0,Evan Rogers,Evan,Rogers,M,United States,North America,17881.0,Camel City CrossFit,28.0,71 in,185 lb,10.0,351.0,2022,semifinals
534247.0,Scott Tetlow,Scott,Tetlow,M,United States,North America,1313.0,Finish Strong CrossFit,29.0,63 in,175 lb,11.0,337.0,2022,semifinals
916348.0,Rafael Sancen,Rafael,Sancen,M,Mexico,North America,18647.0,Richard Russell CrossFit,27.0,72 in,190 lb,12.0,331.0,2022,semifinals
43761.0,Ben Smith,Ben,Smith,M,United States,North America,4933.0,CrossFit Krypton,32.0,71 in,195 lb,13.0,282.0,2022,semifinals
505544.0,Hal Fisher,Hal,Fisher,M,United States,North America,4917.0,CrossFit Trivium,25.0,69 in,193 lb,14.0,277.0,2022,semifinals
325873.0,Garrett Clark,Garrett,Clark,M,United States,North America,1835.0,Three Kings CrossFit,23.0,69 in,195 lb,15.0,272.0,2022,semifinals
473970.0,Brian Huynh,Brian,Huynh,M,United States,North America,14281.0,CrossFit Franco's,28.0,69 in,180 lb,16.0,270.0,2022,semifinals
99564.0,Alec Smith,Alec,Smith,M,United States,North America,4933.0,CrossFit Krypton,29.0,71 in,185 lb,17.0,263.0,2022,semifinals
402035.0,Mark Hutchinson,Mark,Hutchinson,M,United States,North America,20398.0,TriForce CrossFit,34.0,71 in,218 lb,18.0,255.0,2022,semifinals
1169278.0,Mathias Porter,Mathias,Porter,M,United States,North America,4933.0,CrossFit Krypton,26.0,71 in,205 lb,19.0,246.0,2022,semifinals
1045503.0,Spencer Arey,Spencer,Arey,M,United States,North America,220.0,CrossFit Vitality,23.0,69 in,170 lb,20.0,237.0,2022,semifinals
367955.0,Mike Evans,Mike,Evans,M,United States,North America,11854.0,CrossFit XD,25.0,70 in,195 lb,21.0,227.0,2022,semifinals
1031875.0,Roldan Goldbaum,Roldan,Goldbaum,M,Mexico,North America,21264.0,Strong Suit CrossFit,22.0,170 cm,90 kg,22.0,211.0,2022,semifinals
117991.0,Dex Hopkins,Dex,Hopkins,M,United States,North America,18076.0,CrossFit Tupelo,33.0,74 in,210 lb,23.0,192.0,2022,semifinals
449514.0,Mike McDonald,Mike,McDonald,M,United States,North America,15471.0,CrossFit Crash,31.0,72 in,195 lb,24.0,186.0,2022,semifinals
34435.0,Tristan Maiorano,Tristan,Maiorano,M,United States,North America,16077.0,Ocean State CrossFit,27.0,71 in,195 lb,25.0,177.0,2022,semifinals
478734.0,Raymond Romanick,Raymond,Romanick,M,United States,North America,18632.0,CrossFit Bethesda,28.0,71 in,195 lb,26.0,148.0,2022,semifinals
487845.0,Vicente Azua Jr,Vicente,Azua Jr,M,United States,North America,708.0,IMT CrossFit,30.0,69 in,190 lb,27.0,147.0,2022,semifinals
1209621.0,Daniel Sterling,Daniel,Sterling,M,United States,North America,2376.0,CrossFit Wando,21.0,5 in,192 lb,28.0,135.0,2022,semifinals
34796.0,Scott Panchik,Scott,Panchik,M,United States,North America,7991.0,CrossFit Mentality,34.0,69 in,187 lb,29.0,213.0,2022,semifinals
932990.0,Taylor Self,Taylor,Self,M,United States,North America,931.0,CrossFit Charlotte,26.0,70 in,195 lb,30.0,0.0,2022,semifinals
671666.0,Haley Adams,Haley,Adams,F,United States,North America,3220.0,CrossFit Mayhem,21.0,67 in,140 lb,1.0,502.0,2022,semifinals
503582.0,Alexis Raptis,Alexis,Raptis,F,United States,North America,25335.0,TTT CrossFit,23.0,65 in,155 lb,2.0,496.0,2022,semifinals
531598.0,Paige Semenza,Paige,Semenza,F,United States,North America,4938.0,CrossFit Vertex,30.0,63 in,143 lb,3.0,484.0,2022,semifinals
310687.0,Kristi Eramo O'Connell,Kristi Eramo,O'Connell,F,United States,North America,16832.0,CrossFit Polaris,33.0,62 in,132 lb,4.0,476.0,2022,semifinals
656004.0,Christine Kolenbrander,Christine,Kolenbrander,F,United States,North America,29609.0,CrossFit 417,30.0,66 in,157 lb,5.0,469.0,2022,semifinals
132258.0,Arielle Loewen,Arielle,Loewen,F,United States,North America,,,28.0,63 in,145 lb,6.0,431.0,2022,semifinals
920973.0,Gabby McClelland,Gabby,McClelland,F,United States,North America,11612.0,CrossFit Decimate,24.0,68 in,175 lb,7.0,429.0,2022,semifinals
280780.0,Kristine Best,Kristine,Best,F,United States,North America,6348.0,CrossFit Undivided,32.0,63 in,138 lb,8.0,400.0,2022,semifinals
615284.0,Meredith Swindle,Meredith,Swindle,F,United States,North America,5697.0,Coyote CrossFit,30.0,68 in,155 lb,9.0,380.0,2022,semifinals
1306393.0,Olivia Sulek,Olivia,Sulek,F,United States,North America,1257.0,CrossFit Cornerstone,18.0,65 in,,10.0,376.0,2022,semifinals
1344968.0,Katie Calyore,Katie,Calyore,F,United States,North America,22543.0,Golden Goose CrossFit,29.0,66 in,138 lb,11.0,367.0,2022,semifinals
448384.0,Sequoia Barrera,Sequoia,Barrera,F,United States,North America,5005.0,CrossFit Yucca Valley,22.0,69 in,160 lb,12.0,334.0,2022,semifinals
511014.0,Tayler Sykes,Tayler,Sykes,F,United States,North America,21359.0,CrossFit 970,27.0,68 in,163 lb,13.0,297.0,2022,semifinals
1151619.0,Emily White,Emily,White,F,United States,North America,6057.0,The Pack CrossFit,28.0,69 in,170 lb,14.0,292.0,2022,semifinals
1220054.0,Paulina Haro,Paulina,Haro,F,Mexico,North America,27684.0,Happy Place CrossFit,18.0,156 cm,63 kg,15.0,270.0,2022,semifinals
2077209.0,Abigail Domit,Abigail,Domit,F,United States,North America,770.0,Lone Star CrossFit,24.0,68 in,147 lb,16.0,269.0,2022,semifinals
160026.0,Colette Casey,Colette,Casey,F,United States,North America,23318.0,Andover CrossFit,36.0,64 in,145 lb,17.0,255.0,2022,semifinals
520294.0,Faith Stewart,Faith,Stewart,F,United States,North America,,,27.0,63 in,135 lb,18.0,254.0,2022,semifinals
900568.0,Madison McElhaney,Madison,McElhaney,F,United States,North America,1130.0,Paradiso CrossFit,30.0,5 in,160 lb,19.0,245.0,2022,semifinals
11865.0,Madi Jones,Madi,Jones,F,United States,North America,862.0,CrossFit NOC,27.0,66 in,147 lb,20.0,240.0,2022,semifinals
802300.0,Roran Scott,Roran,Scott,F,United States,North America,1876.0,CrossFit Boynton Beach,26.0,61 in,143 lb,21.0,237.0,2022,semifinals
479593.0,Ellia Miller,Ellia,Miller,F,United States,North America,13888.0,Cobra Command CrossFit,30.0,64 in,155 lb,22.0,224.0,2022,semifinals
1366555.0,Natalie Thompson,Natalie,Thompson,F,United States,North America,2856.0,CrossFit Kemah,28.0,68 in,155 lb,23.0,188.0,2022,semifinals
237811.0,Allison Ralfs,Allison,Ralfs,F,United States,North America,25335.0,TTT CrossFit,29.0,68 in,165 lb,24.0,186.0,2022,semifinals
78663.0,Hollye Henderson,Hollye,Henderson,F,United States,North America,14778.0,CrossFit JXN,33.0,64 in,132 lb,25.0,177.0,2022,semifinals
1453224.0,Cody Veteto,Cody,Veteto,F,United States,North America,16717.0,CrossFit SL Fitness,29.0,5 in,2 lb,26.0,167.0,2022,semifinals
1972314.0,Karis Demi,Karis,Demi,F,United States,North America,3234.0,CrossFit Explode,20.0,64 in,140 lb,27.0,132.0,2022,semifinals
928806.0,Kelsey Schulte,Kelsey,Schulte,F,United States,North America,12586.0,CrossFit Fireside,19.0,65 in,150 lb,28.0,99.0,2022,semifinals
387788.0,Annalise Moore,Annalise,Moore,F,United States,North America,1313.0,Finish Strong CrossFit,20.0,64 in,142 lb,29.0,60.0,2022,semifinals
1059467.0,Lazar Đukić,Lazar,Đukić,M,Serbia,Europe,11487.0,CrossFit NS,26.0,182 cm,93 kg,1.0,544.0,2022,semifinals
81616.0,Björgvin Karl Guðmundsson,Björgvin Karl,Guðmundsson,M,Iceland,Europe,4860.0,CrossFit Hengill,29.0,178 cm,190 lb,2.0,512.0,2022,semifinals
